observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
OBS0001,DNS Accountants,independent,SRC001,ltd,100-149k,BOOK_BASIC,Bookkeeping Basic,basic,standard,95,modelA,Cash-coding and bank reconciliation only,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0002,DNS Accountants,independent,SRC001,ltd,100-149k,BOOK_FULL,Bookkeeping Full,full,standard,180,modelA,Full bookkeeping with invoices and journals,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0003,DNS Accountants,independent,SRC001,ltd,150-199k,BOOK_BASIC,Bookkeeping Basic,basic,standard,110,modelA,Cash-coding and bank reconciliation only,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0004,DNS Accountants,independent,SRC001,ltd,150-199k,BOOK_FULL,Bookkeeping Full,full,standard,210,modelA,Full bookkeeping with invoices and journals,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0005,DNS Accountants,independent,SRC001,sole_trader,50-99k,COMP_SATR,Self Assessment Tax Return,n/a,simple,35,modelA,Normalized from £420/year,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0006,DNS Accountants,independent,SRC001,sole_trader,100-149k,COMP_SATR,Self Assessment Tax Return,n/a,standard,45,modelA,Normalized from £540/year,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0007,DNS Accountants,independent,SRC001,ltd,100-149k,COMP_ACCOUNTS,Annual Accounts,n/a,standard,125,modelA,Normalized from £1500/year,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0008,DNS Accountants,independent,SRC001,ltd,100-149k,COMP_CT,Corporation Tax Return,n/a,standard,40,modelA,Included with accounts package,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0009,DNS Accountants,independent,SRC001,ltd,100-149k,VAT_QTR,VAT Return Quarterly,n/a,standard,50,modelA,Per quarter submission,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0010,DNS Accountants,independent,SRC001,ltd,100-149k,PAYROLL_RUN,Payroll Processing,n/a,standard,35,modelA,Per payroll run up to 5 employees,A,https://www.dnsaccountants.co.uk/pricing/,2025-01-05,London
OBS0011,Crunch,independent,SRC002,ltd,50-99k,BOOK_BASIC,Bookkeeping Basic,basic,simple,75,modelA,Starter package with bank feeds,A,https://www.crunch.co.uk/pricing/,2025-01-05,London
OBS0012,Crunch,independent,SRC002,ltd,50-99k,BOOK_FULL,Bookkeeping Full,full,simple,140,modelA,Full service package,A,https://www.crunch.co.uk/pricing/,2025-01-05,London
OBS0013,Crunch,independent,SRC002,ltd,100-149k,BOOK_FULL,Bookkeeping Full,full,standard,165,modelA,Full service package,A,https://www.crunch.co.uk/pricing/,2025-01-05,London
OBS0014,Crunch,independent,SRC002,ltd,100-149k,COMP_ACCOUNTS,Annual Accounts,n/a,standard,100,modelA,Normalized from £1200/year,A,https://www.crunch.co.uk/pricing/,2025-01-05,London
OBS0015,Crunch,independent,SRC002,ltd,100-149k,COMP_CT,Corporation Tax Return,n/a,standard,35,modelA,Included with accounts,A,https://www.crunch.co.uk/pricing/,2025-01-05,London
OBS0016,Crunch,independent,SRC002,sole_trader,50-99k,COMP_SATR,Self Assessment Tax Return,n/a,simple,40,modelA,Normalized from £480/year,A,https://www.crunch.co.uk/pricing/,2025-01-05,London
OBS0017,1st Formations Accountants,independent,SRC003,ltd,0-49k,BOOK_BASIC,Bookkeeping Basic,basic,simple,65,modelA,Basic bookkeeping via calculator,A,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,London
OBS0018,1st Formations Accountants,independent,SRC003,ltd,50-99k,BOOK_BASIC,Bookkeeping Basic,basic,simple,80,modelA,Basic bookkeeping via calculator,A,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,London
OBS0019,1st Formations Accountants,independent,SRC003,ltd,100-149k,BOOK_FULL,Bookkeeping Full,full,standard,155,modelA,Full bookkeeping via calculator,A,https://www.1stformations.co.uk/accountancy-services/pricing/,2025-01-05,London
