observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
ANN001,Anna Money,independent,SRC005,ltd,0-49k,BANKING_BASIC,Business Bank Account,basic,simple,0,tiered,0% monthly fee if income below £500 with balance under £5000,A,https://anna.money/pricing/,2025-01-05,England
ANN002,Anna Money,independent,SRC005,ltd,0-49k,BANKING_BASIC,Business Bank Account,basic,simple,5,tiered,Normalized from £5.88/month inc-VAT,A,https://anna.money/pricing/,2025-01-05,England
ANN003,Anna Money,independent,SRC005,ltd,50-99k,BANKING_BASIC,Business Bank Account,basic,simple,10,tiered,Normalized from £11.88/month inc-VAT,A,https://anna.money/pricing/,2025-01-05,England
ANN004,Anna Money,independent,SRC005,ltd,100-149k,BANKING_BASIC,Business Bank Account,basic,simple,20,tiered,Normalized from £23.88/month inc-VAT,A,https://anna.money/pricing/,2025-01-05,England
ANN005,Anna Money,independent,SRC005,ltd,100-149k,BANKING_STANDARD,Business Plan,n/a,standard,15,modelA,Normalized from £17.88/month inc-VAT; 50 free local transfers,A,https://anna.money/pricing/,2025-01-05,England
ANN006,Anna Money,independent,SRC005,ltd,100-149k,BANKING_ADDON,Expense Card Add-on,n/a,standard,5,fixed,Normalized from £3/month inc-VAT per additional card beyond 5 complimentary,A,https://anna.money/pricing/,2025-01-05,England
ANN007,Anna Money,independent,SRC005,ltd,100-149k,BANKING_ATM,ATM Withdrawals,n/a,standard,0,usage,3 free ATM withdrawals/month; 1% commission after that,A,https://anna.money/pricing/,2025-01-05,England
ANN008,Anna Money,independent,SRC005,ltd,100-149k,BANKING_CASH,Cash Deposits,n/a,standard,0,usage,First £300/month free; 1% commission after that,A,https://anna.money/pricing/,2025-01-05,England
ANN009,Anna Money,independent,SRC005,ltd,100-149k,BANKING_INTL,International Payments,n/a,standard,5,per-transaction,2 free SWIFT (£5 thereafter); 2 free CHAPS (£5 thereafter); 2% currency conversion,A,https://anna.money/pricing/,2025-01-05,England
ANN010,Anna Money,independent,SRC005,ltd,500-599k,BANKING_PREMIUM,Big Business Plan,n/a,complex,40,modelA,Normalized from £49.88/month inc-VAT; unlimited transfers & cards,A,https://anna.money/pricing/,2025-01-05,England
ANN011,Anna Money,independent,SRC005,ltd,500-599k,BANKING_ATM_PREM,ATM Withdrawals Premium,n/a,complex,0,modelA,Unlimited free ATM withdrawals included in Big Business Plan,A,https://anna.money/pricing/,2025-01-05,England
ANN012,Anna Money,independent,SRC005,ltd,500-599k,BANKING_INTL_PREM,International Payments Premium,n/a,complex,5,per-transaction,4 free SWIFT (£5 thereafter); unlimited CHAPS; 0.5% currency conversion,A,https://anna.money/pricing/,2025-01-05,England
ANN013,Anna Money,independent,SRC005,ltd,500-599k,BANKING_CASH_PREM,Cash Deposits Premium,n/a,complex,0,modelA,Commission-free deposits included in Big Business Plan,A,https://anna.money/pricing/,2025-01-05,England
ANN014,Anna Money,independent,SRC005,ltd,100-149k,VAT_FILING,VAT Filing Service,n/a,standard,5,per-filing,Normalized from £4.50 per VAT filing inc-VAT,A,https://anna.money/pricing/,2025-01-05,England
ANN015,Anna Money,independent,SRC005,ltd,100-149k,TAX_PACKAGE,ANNA + Taxes Annual,n/a,standard,20,modelA,Normalized from £24/month inc-VAT after 3-month trial,A,https://anna.money/pricing/,2025-01-05,England
