observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
INN001,InniAccounts,independent,SRC004,ltd,100-149k,COMP_ACCOUNTS,Year-end Accounts,n/a,simple,129,modelA,Accounts preparation and company filing - Essential tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN002,InniAccounts,independent,SRC004,ltd,100-149k,COMP_CT,Corporation Tax,n/a,simple,129,modelA,CT return filing included - Essential tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN003,InniAccounts,independent,SRC004,ltd,100-149k,VAT_QTR,VAT Returns,n/a,simple,129,modelA,Quarterly VAT returns - Essential tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN004,InniAccounts,independent,SRC004,ltd,100-149k,PAYROLL_RUN,Payroll/PAYE,n/a,simple,129,modelA,PAYE submissions included - Essential tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN005,InniAccounts,independent,SRC004,ltd,100-149k,COMP_SATR,Self Assessment,n/a,simple,129,modelA,Personal SA return filing - Essential tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN006,InniAccounts,independent,SRC004,ltd,100-149k,COMP_CONFIRMATION,Confirmation Statement,n/a,simple,129,modelA,Annual confirmation statement - Essential tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN007,InniAccounts,independent,SRC004,ltd,100-149k,COMP_ACCOUNTS,Year-end Accounts,n/a,standard,169,modelA,Accounts preparation and company filing - Professional tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN008,InniAccounts,independent,SRC004,ltd,100-149k,COMP_CT,Corporation Tax,n/a,standard,169,modelA,CT return filing included - Professional tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN009,InniAccounts,independent,SRC004,ltd,100-149k,VAT_QTR,VAT Returns,n/a,standard,169,modelA,Quarterly VAT returns - Professional tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN010,InniAccounts,independent,SRC004,ltd,100-149k,PAYROLL_RUN,Payroll/PAYE,n/a,standard,169,modelA,PAYE submissions included - Professional tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN011,InniAccounts,independent,SRC004,ltd,100-149k,ADVISORY_TAX,Tax Strategy,n/a,standard,169,modelA,Ad-hoc tax consultation and proactive guidance - Professional tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN012,InniAccounts,independent,SRC004,ltd,100-149k,ADVISORY_REVIEW,Quarterly Reviews,n/a,standard,169,modelA,Quarterly health checks - Professional tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN013,InniAccounts,independent,SRC004,ltd,100-149k,COMP_ACCOUNTS,Year-end Accounts,n/a,complex,229,modelA,Accounts preparation and company filing - Business tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN014,InniAccounts,independent,SRC004,ltd,100-149k,COMP_CT,Corporation Tax,n/a,complex,229,modelA,CT return filing included - Business tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN015,InniAccounts,independent,SRC004,ltd,100-149k,VAT_QTR,VAT Returns,n/a,complex,229,modelA,Quarterly VAT returns - Business tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN016,InniAccounts,independent,SRC004,ltd,100-149k,PAYROLL_RUN,Payroll/PAYE,n/a,complex,229,modelA,PAYE submissions up to 10 employees - Business tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN017,InniAccounts,independent,SRC004,ltd,100-149k,ADVISORY_TAX,Tax Strategy,n/a,complex,229,modelA,Comprehensive tax consultation - Business tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
INN018,InniAccounts,independent,SRC004,ltd,100-149k,ADVISORY_STRATEGIC,Annual Strategic Review,n/a,complex,229,modelA,Annual strategic guidance - Business tier,A,https://www.inniaccounts.co.uk/pricing/,2025-01-05,England
