observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
DBT001,Debitam,independent,SRC026,ltd,0-49k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT002,Debitam,independent,SRC026,ltd,50-99k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT003,Debitam,independent,SRC026,ltd,100-149k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT004,Debitam,independent,SRC026,ltd,150-199k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT005,Debitam,independent,SRC026,ltd,200-249k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT006,Debitam,independent,SRC026,ltd,250-299k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT007,Debitam,independent,SRC026,ltd,300-399k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT008,Debitam,independent,SRC026,ltd,400-499k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT009,Debitam,independent,SRC026,ltd,500-599k,COMP_ACCOUNTS,Company Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and CT600 filing to Companies House and HMRC for micro entities,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT010,Debitam,independent,SRC026,llp,0-49k,COMP_ACCOUNTS,LLP Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and SA800 filing to Companies House and HMRC for micro LLPs,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT011,Debitam,independent,SRC026,llp,50-99k,COMP_ACCOUNTS,LLP Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and SA800 filing to Companies House and HMRC for micro LLPs,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT012,Debitam,independent,SRC026,llp,100-149k,COMP_ACCOUNTS,LLP Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and SA800 filing to Companies House and HMRC for micro LLPs,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT013,Debitam,independent,SRC026,llp,150-199k,COMP_ACCOUNTS,LLP Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and SA800 filing to Companies House and HMRC for micro LLPs,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT014,Debitam,independent,SRC026,llp,200-249k,COMP_ACCOUNTS,LLP Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and SA800 filing to Companies House and HMRC for micro LLPs,A,https://www.debitam.com/pricing/,2025-01-05,England
DBT015,Debitam,independent,SRC026,llp,250-299k,COMP_ACCOUNTS,LLP Accounts & Tax Return,micro_entity,simple,33,modelA,Annual £399+VAT converted to monthly; year-end iXBRL accounts and SA800 filing to Companies House and HMRC for micro LLPs,A,https://www.debitam.com/pricing/,2025-01-05,England
