observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
AAR001,Aardvark Accounting,independent,SRC027,ltd,0-49k,COMP_ACCOUNTS,All-Inclusive Contractor Service,n/a,simple,89,modelA,All-inclusive tailored accountancy service for contractors; FreeAgent software included,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
AAR002,Aardvark Accounting,independent,SRC027,ltd,50-99k,COMP_ACCOUNTS,All-Inclusive Contractor Service,n/a,simple,89,modelA,All-inclusive tailored accountancy service for contractors; FreeAgent software included,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
AAR003,Aardvark Accounting,independent,SRC027,ltd,100-149k,COMP_ACCOUNTS,All-Inclusive Contractor Service,n/a,simple,89,modelA,All-inclusive tailored accountancy service for contractors; FreeAgent software included,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
CLV001,Clever Accounts,independent,SRC028,ltd,0-49k,COMP_ACCOUNTS,Contractor Accountancy Service,n/a,simple,104.50,modelA,Dedicated accountant no hidden costs; first 3 months half price,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
CLV002,Clever Accounts,independent,SRC028,ltd,50-99k,COMP_ACCOUNTS,Contractor Accountancy Service,n/a,simple,104.50,modelA,Dedicated accountant no hidden costs; first 3 months half price,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
CLV003,Clever Accounts,independent,SRC028,ltd,100-149k,COMP_ACCOUNTS,Contractor Accountancy Service,n/a,simple,104.50,modelA,Dedicated accountant no hidden costs; first 3 months half price,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
INT001,Integro Accounting,independent,SRC029,ltd,0-49k,COMP_ACCOUNTS,Contractor Accountancy Service,n/a,simple,125,modelA,Award-winning 5-star rated all-inclusive service; first 6 months half price,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
INT002,Integro Accounting,independent,SRC029,ltd,50-99k,COMP_ACCOUNTS,Contractor Accountancy Service,n/a,simple,125,modelA,Award-winning 5-star rated all-inclusive service; first 6 months half price,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
INT003,Integro Accounting,independent,SRC029,ltd,100-149k,COMP_ACCOUNTS,Contractor Accountancy Service,n/a,simple,125,modelA,Award-winning 5-star rated all-inclusive service; first 6 months half price,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
SGA001,SG Accounting,independent,SRC030,ltd,0-49k,COMP_ACCOUNTS,Contractor Accountancy Service,n/a,simple,119,modelA,Full monthly service easy switching; first 3 months half price,A,https://www.itcontracting.com/contractor-accountants/,2025-01-05,England
