observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
TAC041,The Accountancy,independent,SRC020,sole_trader,0-49k,COMP_SATR,Sole Trader Core Service,n/a,simple,24.50,modelA,Annual £294+VAT converted to monthly; includes year-end accounts self-assessment dedicated accountant unlimited support Pandle software,A,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC042,The Accountancy,independent,SRC020,sole_trader,50-99k,COMP_SATR,Sole Trader Core Service,n/a,simple,24.50,modelA,Annual £294+VAT converted to monthly; includes year-end accounts self-assessment dedicated accountant unlimited support Pandle software,A,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC043,The Accountancy,independent,SRC020,sole_trader,100-149k,COMP_SATR,Sole Trader Core Service,n/a,simple,24.50,modelA,Annual £294+VAT converted to monthly; includes year-end accounts self-assessment dedicated accountant unlimited support Pandle software,A,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC044,The Accountancy,independent,SRC020,ltd,0-49k,COMP_ACCOUNTS,Limited Company Core Service,n/a,simple,34.50,modelA,Annual £414+VAT converted to monthly; includes year-end accounts corporation tax confirmation statement dedicated accountant unlimited support Pandle software,A,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC045,The Accountancy,independent,SRC020,ltd,50-99k,COMP_ACCOUNTS,Limited Company Core Service,n/a,simple,34.50,modelA,Annual £414+VAT converted to monthly; includes year-end accounts corporation tax confirmation statement dedicated accountant unlimited support Pandle software,A,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC046,The Accountancy,independent,SRC020,ltd,100-149k,COMP_ACCOUNTS,Limited Company Core Service,n/a,simple,34.50,modelA,Annual £414+VAT converted to monthly; includes year-end accounts corporation tax confirmation statement dedicated accountant unlimited support Pandle software,A,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC047,The Accountancy,independent,SRC020,partnership,0-49k,COMP_ACCOUNTS,Partnership Core Service,n/a,simple,24.50,modelA,From £24.50/month; includes year-end accounts partnership tax returns dedicated accountant unlimited support Pandle software,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC048,The Accountancy,independent,SRC020,partnership,50-99k,COMP_ACCOUNTS,Partnership Core Service,n/a,simple,24.50,modelA,From £24.50/month; includes year-end accounts partnership tax returns dedicated accountant unlimited support Pandle software,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC049,The Accountancy,independent,SRC020,partnership,100-149k,COMP_ACCOUNTS,Partnership Core Service,n/a,simple,24.50,modelA,From £24.50/month; includes year-end accounts partnership tax returns dedicated accountant unlimited support Pandle software,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC050,The Accountancy,independent,SRC020,sole_trader,0-49k,COMP_SATR,Self Assessment Add-on,n/a,simple,10,modelA,From £10/month self-assessment add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC051,The Accountancy,independent,SRC020,sole_trader,50-99k,COMP_SATR,Self Assessment Add-on,n/a,simple,10,modelA,From £10/month self-assessment add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC052,The Accountancy,independent,SRC020,sole_trader,100-149k,COMP_SATR,Self Assessment Add-on,n/a,simple,10,modelA,From £10/month self-assessment add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC053,The Accountancy,independent,SRC020,ltd,0-49k,BOOK_BASIC,Bookkeeping Add-on,n/a,simple,20,modelA,From £20/month bookkeeping add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC054,The Accountancy,independent,SRC020,ltd,50-99k,BOOK_BASIC,Bookkeeping Add-on,n/a,simple,20,modelA,From £20/month bookkeeping add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC055,The Accountancy,independent,SRC020,ltd,100-149k,BOOK_BASIC,Bookkeeping Add-on,n/a,simple,20,modelA,From £20/month bookkeeping add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC056,The Accountancy,independent,SRC020,ltd,0-49k,VAT_QTR,VAT Returns Add-on,n/a,simple,35,modelA,From £35/month VAT returns add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC057,The Accountancy,independent,SRC020,ltd,50-99k,VAT_QTR,VAT Returns Add-on,n/a,simple,35,modelA,From £35/month VAT returns add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC058,The Accountancy,independent,SRC020,ltd,100-149k,VAT_QTR,VAT Returns Add-on,n/a,simple,35,modelA,From £35/month VAT returns add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC059,The Accountancy,independent,SRC020,ltd,0-49k,PAYROLL_BASE,Payroll Add-on,n/a,simple,24,modelA,From £24/month payroll add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC060,The Accountancy,independent,SRC020,ltd,50-99k,PAYROLL_BASE,Payroll Add-on,n/a,simple,24,modelA,From £24/month payroll add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC061,The Accountancy,independent,SRC020,ltd,100-149k,PAYROLL_BASE,Payroll Add-on,n/a,simple,24,modelA,From £24/month payroll add-on service,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC062,The Accountancy,independent,SRC020,ltd,0-49k,CIS_RETURN,CIS Returns Add-on,n/a,simple,6,modelA,From £6/month per statement per sub-contractor CIS returns,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC063,The Accountancy,independent,SRC020,ltd,50-99k,CIS_RETURN,CIS Returns Add-on,n/a,simple,6,modelA,From £6/month per statement per sub-contractor CIS returns,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
TAC064,The Accountancy,independent,SRC020,ltd,100-149k,CIS_RETURN,CIS Returns Add-on,n/a,simple,6,modelA,From £6/month per statement per sub-contractor CIS returns,C,https://www.theaccountancy.co.uk/plans-and-pricing,2025-01-05,England
