observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
LKR001,Lukro Ltd,independent,SRC035,ltd,0-49k,COMP_DORMANT,Dormant Accounts & Corporation Tax,dormant,simple,12,modelA,Annual £145 converted to monthly; dormant accounts and Corporation Tax filing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR002,Lukro Ltd,independent,SRC035,ltd,0-49k,COMP_ACCOUNTS,Year-End Accounts & Corporation Tax,n/a,simple,37.50,modelA,From £450/year converted to monthly; variable based on business complexity,C,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR003,Lukro Ltd,independent,SRC035,ltd,50-99k,COMP_ACCOUNTS,Year-End Accounts & Corporation Tax,n/a,simple,37.50,modelA,From £450/year converted to monthly; variable based on business complexity,C,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR004,Lukro Ltd,independent,SRC035,ltd,100-149k,COMP_ACCOUNTS,Year-End Accounts & Corporation Tax,n/a,simple,37.50,modelA,From £450/year converted to monthly; variable based on business complexity,C,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR005,Lukro Ltd,independent,SRC035,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts,n/a,simple,12.50,modelA,From £150 annual converted to monthly; variable based on complexity,C,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR006,Lukro Ltd,independent,SRC035,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts,n/a,simple,12.50,modelA,From £150 annual converted to monthly; variable based on complexity,C,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR007,Lukro Ltd,independent,SRC035,sole_trader,0-49k,COMP_SATR,Self-Assessment Tax Return,nil_return,simple,7,modelA,Annual £85 for nil return converted to monthly,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR008,Lukro Ltd,independent,SRC035,sole_trader,0-49k,COMP_SATR,Self-Assessment Tax Return,standard,simple,18,modelA,From £220 annual SA302 converted to monthly; additional charges for complex returns,C,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR009,Lukro Ltd,independent,SRC035,sole_trader,50-99k,COMP_SATR,Self-Assessment Tax Return,standard,simple,18,modelA,From £220 annual SA302 converted to monthly; additional charges for complex returns,C,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR010,Lukro Ltd,independent,SRC035,ltd,0-49k,BOOK_BASIC,Bookkeeping Package I,0_to_25_tx,simple,50,modelA,Monthly bookkeeping 0-25 transactions per month,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR011,Lukro Ltd,independent,SRC035,ltd,50-99k,BOOK_BASIC,Bookkeeping Package I,26_to_50_tx,simple,75,modelA,Monthly bookkeeping 26-50 transactions per month,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR012,Lukro Ltd,independent,SRC035,ltd,100-149k,BOOK_STANDARD,Bookkeeping Package I,51_to_75_tx,standard,100,modelA,Monthly bookkeeping 51-75 transactions per month,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
