observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
MAF001,MAF Scotland,independent,SRC036,ltd,0-49k,COMP_ACCOUNTS,Standard Package,standard,simple,95,modelA,Award-winning software dedicated accountant real-time tax liabilities direct bank uploads time tracker,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF002,MAF Scotland,independent,SRC036,ltd,50-99k,COMP_ACCOUNTS,Standard Package,standard,simple,95,modelA,Award-winning software dedicated accountant real-time tax liabilities direct bank uploads time tracker,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF003,MAF Scotland,independent,SRC036,ltd,100-149k,COMP_ACCOUNTS,Standard Package,standard,simple,95,modelA,Award-winning software dedicated accountant real-time tax liabilities direct bank uploads time tracker,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF004,MAF Scotland,independent,SRC036,sole_trader,0-49k,COMP_ACCOUNTS,Standard Package,standard,simple,95,modelA,Award-winning software dedicated accountant real-time tax liabilities direct bank uploads time tracker,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF005,MAF Scotland,independent,SRC036,sole_trader,50-99k,COMP_ACCOUNTS,Standard Package,standard,simple,95,modelA,Award-winning software dedicated accountant real-time tax liabilities direct bank uploads time tracker,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF006,MAF Scotland,independent,SRC036,sole_trader,100-149k,COMP_ACCOUNTS,Standard Package,standard,simple,95,modelA,Award-winning software dedicated accountant real-time tax liabilities direct bank uploads time tracker,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF007,MAF Scotland,independent,SRC036,ltd,0-49k,COMP_ACCOUNTS,Enhanced Package,enhanced,standard,125,modelA,All Standard plus fully processed receipts expenses sales invoices submissions directly to HMRC,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF008,MAF Scotland,independent,SRC036,ltd,50-99k,COMP_ACCOUNTS,Enhanced Package,enhanced,standard,125,modelA,All Standard plus fully processed receipts expenses sales invoices submissions directly to HMRC,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF009,MAF Scotland,independent,SRC036,ltd,100-149k,COMP_ACCOUNTS,Enhanced Package,enhanced,standard,125,modelA,All Standard plus fully processed receipts expenses sales invoices submissions directly to HMRC,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF010,MAF Scotland,independent,SRC036,sole_trader,0-49k,COMP_ACCOUNTS,Enhanced Package,enhanced,standard,125,modelA,All Standard plus fully processed receipts expenses sales invoices submissions directly to HMRC,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF011,MAF Scotland,independent,SRC036,sole_trader,50-99k,COMP_ACCOUNTS,Enhanced Package,enhanced,standard,125,modelA,All Standard plus fully processed receipts expenses sales invoices submissions directly to HMRC,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF012,MAF Scotland,independent,SRC036,sole_trader,100-149k,COMP_ACCOUNTS,Enhanced Package,enhanced,standard,125,modelA,All Standard plus fully processed receipts expenses sales invoices submissions directly to HMRC,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF013,MAF Scotland,independent,SRC036,ltd,100-149k,MGMT_ACCTS,Premium Package,premium,complex,300,modelA,All Enhanced plus monthly management accounts cashflows budget reports monthly review meetings,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF014,MAF Scotland,independent,SRC036,ltd,150-199k,MGMT_ACCTS,Premium Package,premium,complex,300,modelA,All Enhanced plus monthly management accounts cashflows budget reports monthly review meetings,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF015,MAF Scotland,independent,SRC036,ltd,200-249k,MGMT_ACCTS,Premium Package,premium,complex,300,modelA,All Enhanced plus monthly management accounts cashflows budget reports monthly review meetings,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF016,MAF Scotland,independent,SRC036,ltd,250-299k,MGMT_ACCTS,Premium Package,premium,complex,300,modelA,All Enhanced plus monthly management accounts cashflows budget reports monthly review meetings,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF017,MAF Scotland,independent,SRC036,sole_trader,100-149k,MGMT_ACCTS,Premium Package,premium,complex,300,modelA,All Enhanced plus monthly management accounts cashflows budget reports monthly review meetings,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
MAF018,MAF Scotland,independent,SRC036,sole_trader,150-199k,MGMT_ACCTS,Premium Package,premium,complex,300,modelA,All Enhanced plus monthly management accounts cashflows budget reports monthly review meetings,A,https://www.kjmaccountancy.com/,2025-01-05,Scotland
