observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
HIP001,Hippo Accountants,independent,SRC037,ltd,0-49k,COMP_ACCOUNTS,Limited Company Accounts with Bookkeeping,n/a,simple,100,modelA,Starting at £1200+VAT per year converted to monthly; includes bookkeeping and accounts,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP002,Hippo Accountants,independent,SRC037,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts with Bookkeeping,n/a,simple,100,modelA,Starting at £1200+VAT per year converted to monthly; includes bookkeeping and accounts,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP003,Hippo Accountants,independent,SRC037,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts with Bookkeeping,n/a,simple,100,modelA,Starting at £1200+VAT per year converted to monthly; includes bookkeeping and accounts,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP004,Hippo Accountants,independent,SRC037,sole_trader,0-49k,COMP_SATR,Self-Employed Tax Return,n/a,simple,50,modelA,Starting at £600+VAT annual converted to monthly; accountancy and tax return services,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP005,Hippo Accountants,independent,SRC037,sole_trader,50-99k,COMP_SATR,Self-Employed Tax Return,n/a,simple,50,modelA,Starting at £600+VAT annual converted to monthly; accountancy and tax return services,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP006,Hippo Accountants,independent,SRC037,sole_trader,100-149k,COMP_SATR,Self-Employed Tax Return,n/a,simple,50,modelA,Starting at £600+VAT annual converted to monthly; accountancy and tax return services,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP007,Hippo Accountants,independent,SRC037,sole_trader,0-49k,LANDLORD_TAX,Landlord Tax Single Property,n/a,simple,50,modelA,£600+VAT annual for single property converted to monthly,A,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP008,Hippo Accountants,independent,SRC037,sole_trader,50-99k,LANDLORD_TAX,Landlord Tax Single Property,n/a,simple,50,modelA,£600+VAT annual for single property converted to monthly,A,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP009,Hippo Accountants,independent,SRC037,sole_trader,0-49k,LANDLORD_TAX,Landlord Tax Additional Property,n/a,simple,8,modelA,£100+VAT per additional property annual converted to monthly,A,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP010,Hippo Accountants,independent,SRC037,sole_trader,50-99k,LANDLORD_TAX,Landlord Tax Additional Property,n/a,simple,8,modelA,£100+VAT per additional property annual converted to monthly,A,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP011,Hippo Accountants,independent,SRC037,ltd,0-49k,BOOK_HOURLY,Bookkeeping Hourly Rate,n/a,simple,60,modelA,Starting at £60+VAT per hour for bookkeeping management accounts VAT returns,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP012,Hippo Accountants,independent,SRC037,ltd,50-99k,BOOK_HOURLY,Bookkeeping Hourly Rate,n/a,simple,60,modelA,Starting at £60+VAT per hour for bookkeeping management accounts VAT returns,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP013,Hippo Accountants,independent,SRC037,ltd,100-149k,BOOK_HOURLY,Bookkeeping Hourly Rate,n/a,simple,60,modelA,Starting at £60+VAT per hour for bookkeeping management accounts VAT returns,C,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP014,Hippo Accountants,independent,SRC037,ltd,0-49k,CGT_FILING,Capital Gains Tax 60 Day Form,non_resident,complex,62.50,modelA,£750+VAT for non-resident property sales or rental/second home disposals converted to monthly one-off,A,https://hippoaccountants.com/pricing/,2025-01-05,England
HIP015,Hippo Accountants,independent,SRC037,ltd,50-99k,CGT_FILING,Capital Gains Tax 60 Day Form,non_resident,complex,62.50,modelA,£750+VAT for non-resident property sales or rental/second home disposals converted to monthly one-off,A,https://hippoaccountants.com/pricing/,2025-01-05,England
