observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
CHE001,Cheap Accounting,independent,SRC038,sole_trader,0-49k,COMP_SATR,Sole Trader Package,n/a,simple,52.50,modelA,From £52.50+VAT; year-end accounts self-assessment cloud software support FreeAgent/Xero/QuickBooks email-led MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
CHE002,Cheap Accounting,independent,SRC038,sole_trader,50-99k,COMP_SATR,Sole Trader Package,n/a,simple,52.50,modelA,From £52.50+VAT; year-end accounts self-assessment cloud software support FreeAgent/Xero/QuickBooks email-led MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
CHE003,Cheap Accounting,independent,SRC038,sole_trader,100-149k,COMP_SATR,Sole Trader Package,n/a,simple,52.50,modelA,From £52.50+VAT; year-end accounts self-assessment cloud software support FreeAgent/Xero/QuickBooks email-led MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
VAN001,Vantage Accounting,independent,SRC039,sole_trader,0-49k,COMP_SATR,Sole Trader Package,n/a,simple,49,modelA,From £49+VAT; FreeAgent included no contracts tax returns accounts VAT optional MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
VAN002,Vantage Accounting,independent,SRC039,sole_trader,50-99k,COMP_SATR,Sole Trader Package,n/a,simple,49,modelA,From £49+VAT; FreeAgent included no contracts tax returns accounts VAT optional MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
VAN003,Vantage Accounting,independent,SRC039,sole_trader,100-149k,COMP_SATR,Sole Trader Package,n/a,simple,49,modelA,From £49+VAT; FreeAgent included no contracts tax returns accounts VAT optional MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
CLH001,Clear House Accountants,independent,SRC040,sole_trader,0-49k,COMP_SATR,Sole Trader Package,n/a,simple,30,modelA,From £30; self-assessment complimentary QuickBooks all-inclusive support dedicated accounts manager MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
CLH002,Clear House Accountants,independent,SRC040,sole_trader,50-99k,COMP_SATR,Sole Trader Package,n/a,simple,30,modelA,From £30; self-assessment complimentary QuickBooks all-inclusive support dedicated accounts manager MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
CLH003,Clear House Accountants,independent,SRC040,sole_trader,100-149k,COMP_SATR,Sole Trader Package,n/a,simple,30,modelA,From £30; self-assessment complimentary QuickBooks all-inclusive support dedicated accounts manager MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
GOR001,Gorilla Accounting,independent,SRC041,sole_trader,0-49k,COMP_SATR,Sole Trader Package,n/a,simple,55,modelA,£55; FreeAgent included IR35 help self-assessment quick-response email/phone support MTD-ready,A,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
GOR002,Gorilla Accounting,independent,SRC041,sole_trader,50-99k,COMP_SATR,Sole Trader Package,n/a,simple,55,modelA,£55; FreeAgent included IR35 help self-assessment quick-response email/phone support MTD-ready,A,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
GOR003,Gorilla Accounting,independent,SRC041,sole_trader,100-149k,COMP_SATR,Sole Trader Package,n/a,simple,55,modelA,£55; FreeAgent included IR35 help self-assessment quick-response email/phone support MTD-ready,A,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
NOW001,No Worries Accounting,independent,SRC042,sole_trader,0-49k,COMP_SATR,Sole Trader Package,n/a,simple,35,modelA,From £35; self-assessment IR35 advice cloud software Joy Pilot all-inclusive support MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
NOW002,No Worries Accounting,independent,SRC042,sole_trader,50-99k,COMP_SATR,Sole Trader Package,n/a,simple,35,modelA,From £35; self-assessment IR35 advice cloud software Joy Pilot all-inclusive support MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
NOW003,No Worries Accounting,independent,SRC042,sole_trader,100-149k,COMP_SATR,Sole Trader Package,n/a,simple,35,modelA,From £35; self-assessment IR35 advice cloud software Joy Pilot all-inclusive support MTD-ready,C,https://www.bytestart.co.uk/self-employed-accounts/compare-sole-trader-accountants/,2025-01-05,England
