observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
CLB001,CloudBook,independent,SRC043,sole_trader,0-49k,COMP_SATR,Annual Package,annual,simple,20,modelA,Annual submissions only; includes accounts and self-assessment; £24+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB002,CloudBook,independent,SRC043,sole_trader,50-99k,COMP_SATR,Annual Package,annual,simple,20,modelA,Annual submissions only; includes accounts and self-assessment; £24+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB003,CloudBook,independent,SRC043,partnership,0-49k,COMP_ACCOUNTS,Annual Package,annual,simple,30,modelA,Annual submissions only; includes accounts and tax return; £36+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB004,CloudBook,independent,SRC043,partnership,50-99k,COMP_ACCOUNTS,Annual Package,annual,simple,30,modelA,Annual submissions only; includes accounts and tax return; £36+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB005,CloudBook,independent,SRC043,ltd,0-49k,COMP_ACCOUNTS,Annual Package,annual,simple,40,modelA,Annual submissions only; includes accounts corporation tax and confirmation statement; £48+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB006,CloudBook,independent,SRC043,ltd,50-99k,COMP_ACCOUNTS,Annual Package,annual,simple,40,modelA,Annual submissions only; includes accounts corporation tax and confirmation statement; £48+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB007,CloudBook,independent,SRC043,sole_trader,0-49k,COMP_SATR,Annual+ Package,annual_plus,simple,30,modelA,Annual+ includes all Annual plus bookkeeping and VAT; £36+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB008,CloudBook,independent,SRC043,sole_trader,50-99k,COMP_SATR,Annual+ Package,annual_plus,simple,30,modelA,Annual+ includes all Annual plus bookkeeping and VAT; £36+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB009,CloudBook,independent,SRC043,partnership,0-49k,COMP_ACCOUNTS,Annual+ Package,annual_plus,simple,40,modelA,Annual+ includes all Annual plus bookkeeping and VAT; £48+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB010,CloudBook,independent,SRC043,partnership,50-99k,COMP_ACCOUNTS,Annual+ Package,annual_plus,simple,40,modelA,Annual+ includes all Annual plus bookkeeping and VAT; £48+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB011,CloudBook,independent,SRC043,ltd,0-49k,COMP_ACCOUNTS,Annual+ Package,annual_plus,simple,50,modelA,Annual+ includes all Annual plus bookkeeping and VAT; £60+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB012,CloudBook,independent,SRC043,ltd,50-99k,COMP_ACCOUNTS,Annual+ Package,annual_plus,simple,50,modelA,Annual+ includes all Annual plus bookkeeping and VAT; £60+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB013,CloudBook,independent,SRC043,sole_trader,0-49k,COMP_SATR,Quarterly Package,quarterly,simple,40,modelA,Quarterly submissions; includes all Annual+ plus quarterly accounts and management reports; £48+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB014,CloudBook,independent,SRC043,sole_trader,50-99k,COMP_SATR,Quarterly Package,quarterly,simple,40,modelA,Quarterly submissions; includes all Annual+ plus quarterly accounts and management reports; £48+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB015,CloudBook,independent,SRC043,partnership,0-49k,COMP_ACCOUNTS,Quarterly Package,quarterly,simple,50,modelA,Quarterly submissions; includes all Annual+ plus quarterly accounts and management reports; £60+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB016,CloudBook,independent,SRC043,partnership,50-99k,COMP_ACCOUNTS,Quarterly Package,quarterly,simple,50,modelA,Quarterly submissions; includes all Annual+ plus quarterly accounts and management reports; £60+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB017,CloudBook,independent,SRC043,ltd,0-49k,COMP_ACCOUNTS,Quarterly Package,quarterly,simple,60,modelA,Quarterly submissions; includes all Annual+ plus quarterly accounts and management reports; £72+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB018,CloudBook,independent,SRC043,ltd,50-99k,COMP_ACCOUNTS,Quarterly Package,quarterly,simple,60,modelA,Quarterly submissions; includes all Annual+ plus quarterly accounts and management reports; £72+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
CLB019,CloudBook,independent,SRC043,sole_trader,0-49k,COMP_SATR,Monthly Package,monthly,simple,70,modelA,Monthly submissions; includes all Quarterly plus monthly management accounts and reports; £84+VAT converted from Inc-VAT,A,https://www.cloudbook.co.uk/pricing/,2025-01-05,England
