observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
JSM001,James Smith Chartered Accountant,independent,SRC044,sole_trader,0-49k,COMP_SATR,Personal Tax Return,n/a,simple,21,modelA,From £250+VAT annual converted to monthly; personal self-assessment,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM002,James Smith Chartered Accountant,independent,SRC044,sole_trader,50-99k,COMP_SATR,Personal Tax Return,n/a,simple,21,modelA,From £250+VAT annual converted to monthly; personal self-assessment,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM003,James Smith Chartered Accountant,independent,SRC044,sole_trader,0-49k,LANDLORD_TAX,Landlord Tax Return,n/a,simple,33,modelA,From £399+VAT annual converted to monthly; rental property income tax return,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM004,James Smith Chartered Accountant,independent,SRC044,sole_trader,50-99k,LANDLORD_TAX,Landlord Tax Return,n/a,simple,33,modelA,From £399+VAT annual converted to monthly; rental property income tax return,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM005,James Smith Chartered Accountant,independent,SRC044,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts,n/a,simple,33,modelA,From £399+VAT annual converted to monthly; sole trader accounts and tax return,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM006,James Smith Chartered Accountant,independent,SRC044,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts,n/a,simple,33,modelA,From £399+VAT annual converted to monthly; sole trader accounts and tax return,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM007,James Smith Chartered Accountant,independent,SRC044,sole_trader,100-149k,COMP_SATR,Sole Trader Accounts,n/a,simple,33,modelA,From £399+VAT annual converted to monthly; sole trader accounts and tax return,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM008,James Smith Chartered Accountant,independent,SRC044,ltd,0-49k,COMP_ACCOUNTS,Limited Company Accounts,entry,simple,75,modelA,From £900+VAT annual converted to monthly; starting rate for limited companies,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM009,James Smith Chartered Accountant,independent,SRC044,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,entry,simple,75,modelA,From £900+VAT annual converted to monthly; starting rate for limited companies,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM010,James Smith Chartered Accountant,independent,SRC044,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts,entry,simple,75,modelA,From £900+VAT annual converted to monthly; starting rate for limited companies,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM011,James Smith Chartered Accountant,independent,SRC044,ltd,0-49k,COMP_ACCOUNTS,Limited Company Accounts,comprehensive,standard,125,modelA,Typical £1500+VAT annual converted to monthly; comprehensive service,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM012,James Smith Chartered Accountant,independent,SRC044,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,comprehensive,standard,125,modelA,Typical £1500+VAT annual converted to monthly; comprehensive service,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
JSM013,James Smith Chartered Accountant,independent,SRC044,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts,comprehensive,standard,125,modelA,Typical £1500+VAT annual converted to monthly; comprehensive service,C,https://www.jamessmithcharteredaccountant.co.uk/accountancy-fees/,2025-01-05,England
