observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
COM001,Coman & Co,independent,SRC045,sole_trader,0-49k,LANDLORD_TAX,Landlord Tax Return,rental_up_to_19999,simple,17,modelA,Annual £200+VAT for rental income up to £19999 converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM002,Coman & Co,independent,SRC045,sole_trader,50-99k,LANDLORD_TAX,Landlord Tax Return,rental_20k_to_49999,simple,21,modelA,Annual £250+VAT for rental income £20000-£49999 converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM003,Coman & Co,independent,SRC045,sole_trader,50-99k,LANDLORD_TAX,Landlord Tax Return,rental_50k_plus,simple,25,modelA,Annual £300+VAT for rental income over £50000 converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM004,Coman & Co,independent,SRC045,sole_trader,0-49k,COMP_SATR,Sole Trader Tax Return,self_employment_up_to_19999,simple,13,modelA,Annual £150+VAT for self-employment income up to £19999 converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM005,Coman & Co,independent,SRC045,sole_trader,50-99k,COMP_SATR,Sole Trader Tax Return,self_employment_20k_to_49999,simple,17,modelA,Annual £200+VAT for income £20000-£49999 converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM006,Coman & Co,independent,SRC045,sole_trader,50-99k,COMP_SATR,Sole Trader Tax Return,self_employment_50k_to_84999,simple,21,modelA,Annual £250+VAT for income £50000-£84999 converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM007,Coman & Co,independent,SRC045,sole_trader,100-149k,COMP_SATR,Sole Trader Tax Return,above_vat_threshold,simple,25,modelA,Annual £300+VAT for income above VAT threshold converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM008,Coman & Co,independent,SRC045,sole_trader,0-49k,COMP_SATR,High Earner Tax Return,employment_basic,simple,10,modelA,Annual £125+VAT for basic employment earnings converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM009,Coman & Co,independent,SRC045,sole_trader,50-99k,COMP_SATR,High Earner Tax Return,employment_basic,simple,10,modelA,Annual £125+VAT for basic employment earnings converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM010,Coman & Co,independent,SRC045,sole_trader,0-49k,CGT_FILING,Capital Gains Tax Return,single_property,simple,25,modelA,Annual £300+VAT for single property CGT converted to monthly,A,https://comanandco.co.uk/pricing,2025-01-05,England
