observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
1CL001,1st Cloud Accountants,independent,SRC009,ltd,0-49k,BOOK_BASIC,Bookkeeping Services,basic,simple,20,modelA,50 transactions included,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL002,1st Cloud Accountants,independent,SRC009,ltd,100-149k,BOOK_FULL,Bookkeeping Services,full,standard,65,modelA,100+ transactions,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL003,1st Cloud Accountants,independent,SRC009,ltd,100-149k,BOOK_FULL,Bookkeeping Services,full,complex,130,modelA,Complex bookkeeping operations,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL004,1st Cloud Accountants,independent,SRC009,ltd,0-49k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,160,modelA,Simple returns,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL005,1st Cloud Accountants,independent,SRC009,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts,n/a,standard,335,modelA,Standard compliance,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL006,1st Cloud Accountants,independent,SRC009,ltd,250-299k,COMP_ACCOUNTS,Limited Company Accounts,n/a,complex,585,modelA,Complex compliance,B,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL007,1st Cloud Accountants,independent,SRC009,ltd,0-49k,PAYROLL_RUN,Payroll Services,n/a,simple,15,modelA,Small employer under 5 staff,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL008,1st Cloud Accountants,independent,SRC009,ltd,100-149k,PAYROLL_RUN,Payroll Services,n/a,standard,50,modelA,5-25 employees,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL009,1st Cloud Accountants,independent,SRC009,ltd,100-149k,PAYROLL_RUN,Payroll Services,n/a,complex,110,modelA,25+ employees,B,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL010,1st Cloud Accountants,independent,SRC009,ltd,100-149k,VAT_QTR,VAT Services,n/a,simple,40,modelA,Quarterly returns,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL011,1st Cloud Accountants,independent,SRC009,ltd,100-149k,VAT_MONTHLY,VAT Services,n/a,standard,75,modelA,Monthly returns,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL012,1st Cloud Accountants,independent,SRC009,ltd,100-149k,VAT_COMPLEX,VAT Services,n/a,complex,125,modelA,Complex VAT compliance,B,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL013,1st Cloud Accountants,independent,SRC009,cic,0-49k,COMP_ACCOUNTS,Charity Accounts,n/a,simple,210,modelA,SORP accounts,B,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL014,1st Cloud Accountants,independent,SRC009,cic,50-99k,COMP_ACCOUNTS,Charity Accounts,n/a,standard,415,modelA,SORP accounts with audit,B,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL015,1st Cloud Accountants,independent,SRC009,ltd,100-149k,PROPERTY_ACCOUNTS,Property Accounts,n/a,simple,300,modelA,Property FRS105 2 sources,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL016,1st Cloud Accountants,independent,SRC009,ltd,100-149k,ADMIN_REGOFFICE,Company Secretarial,n/a,simple,15,fixed,Registered office 1 year,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL017,1st Cloud Accountants,independent,SRC009,ltd,100-149k,ADMIN_STAFF,Administration Staff,n/a,simple,55,usage,Hourly rate - minimum threshold applies,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL018,1st Cloud Accountants,independent,SRC009,ltd,100-149k,BOOK_STAFF,Bookkeeping Staff,n/a,simple,35,usage,Hourly rate - time charged in 10 minute intervals,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL019,1st Cloud Accountants,independent,SRC009,ltd,100-149k,CLIENT_MANAGER,Client Manager,n/a,standard,65,usage,Hourly rate for client relationship management,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
1CL020,1st Cloud Accountants,independent,SRC009,ltd,100-149k,PARTNER_ADVISORY,Partner Specialist Work,n/a,complex,225,usage,Hourly rate for specialist advisory services,A,https://www.1stcloudaccountants.co.uk/pricing/,2025-01-05,England
