observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
GOF001,GoForma,GoForma,SRC007,ltd,0-49k,PACKAGE_START,Limited Company Accounting,basic,simple,80,modelA,Dedicated accountant + FreeAgent + year-end accounts + corporation tax + PAYE registration,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF002,GoForma,GoForma,SRC007,ltd,0-49k,PACKAGE_START,Limited Company Accounting,basic,simple,40,modelA,50% discount for first 3 months,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF003,GoForma,GoForma,SRC007,ltd,100-149k,PACKAGE_OPERATE,Limited Company Accounting,full,standard,120,modelA,VAT filing + London virtual office + self-assessment returns + all Start features,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF004,GoForma,GoForma,SRC007,ltd,100-149k,PACKAGE_OPERATE,Limited Company Accounting,full,standard,60,modelA,50% discount for first 3 months,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF005,GoForma,GoForma,SRC007,ltd,250-299k,PACKAGE_GROW,Limited Company Accounting,full,complex,140,modelA,Monthly payroll for 2 employees + mail forwarding + all Operate features,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF006,GoForma,GoForma,SRC007,ltd,250-299k,PACKAGE_GROW,Limited Company Accounting,full,complex,70,modelA,50% discount for first 3 months,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF007,GoForma,GoForma,SRC007,sole_trader,0-49k,PACKAGE_START,Sole Trader Accounting,basic,simple,40,modelA,Dedicated accountant + self-assessment tax return,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF008,GoForma,GoForma,SRC007,sole_trader,0-49k,PACKAGE_START,Sole Trader Accounting,basic,simple,20,modelA,50% discount for first 3 months,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF009,GoForma,GoForma,SRC007,sole_trader,50-99k,PACKAGE_OPERATE,Sole Trader Accounting,full,standard,70,modelA,VAT registration + quarterly VAT filing + all Start features,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF010,GoForma,GoForma,SRC007,sole_trader,50-99k,PACKAGE_OPERATE,Sole Trader Accounting,full,standard,35,modelA,50% discount for first 3 months,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF011,GoForma,GoForma,SRC007,ltd,100-149k,ADDON_VIRTUALOFFICE,Virtual Office Service,n/a,standard,30,modelA,London business address + mail handling,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF012,GoForma,GoForma,SRC007,ltd,100-149k,ADDON_VIRTUALOFFICE,Virtual Office Service,n/a,standard,15,modelA,50% discount for first 3 months,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF013,GoForma,GoForma,SRC007,ltd,250-299k,ADDON_VIRTUALOFFICE_PREM,Virtual Office Service Premium,n/a,complex,35,modelA,Enhanced business address + priority mail handling,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF014,GoForma,GoForma,SRC007,ltd,250-299k,ADDON_VIRTUALOFFICE_PREM,Virtual Office Service Premium,n/a,complex,20,modelA,50% discount for first 3 months,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF015,GoForma,GoForma,SRC007,ltd,100-149k,ADDON_FREEAGENT,FreeAgent Software Support,n/a,standard,30,modelA,FreeAgent Plus accounting software support,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF016,GoForma,GoForma,SRC007,ltd,100-149k,ADMIN_SELFASSESS,Self Assessment Tax Return,n/a,standard,150,fixed,One-time fee for crypto and standard self-assessment returns,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF017,GoForma,GoForma,SRC007,ltd,100-149k,ADMIN_CRYPTO,Crypto Self Assessment,n/a,standard,230,fixed,One-time fee for cryptocurrency asset self-assessment filing,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF018,GoForma,GoForma,SRC007,ltd,100-149k,ADMIN_ACCOUNTS,End of Year Accounts,n/a,standard,415,fixed,One-time fee for annual accounts preparation and filing,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF019,GoForma,GoForma,SRC007,ltd,100-149k,ADMIN_CLOSURE,Company Closure,n/a,standard,485,fixed,One-time fee for full company dissolution and final tax filings,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF020,GoForma,GoForma,SRC007,ltd,250-299k,PAYROLL_RUN,Payroll Services,n/a,complex,5,modelA,Per employee monthly payroll processing (within Grow package) - normalized from £35/year per employee,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF021,GoForma,GoForma,SRC007,ltd,100-149k,VAT_QTR,VAT Compliance,n/a,standard,5,modelA,Quarterly VAT filing service (bundled in Operate package) - normalized from £71/year,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF022,GoForma,GoForma,SRC007,ltd,0-49k,COMP_CT,Corporation Tax Return,n/a,simple,5,modelA,Annual corporation tax filing (bundled in Start package) - normalized from £79/year,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF023,GoForma,GoForma,SRC007,sole_trader,0-49k,COMP_SATR,Self Assessment Return,n/a,simple,5,modelA,Annual self-assessment filing (bundled in Start package) - normalized from £39/year,A,https://www.goforma.com/pricing/,2025-01-05,England
GOF024,GoForma,GoForma,SRC007,ltd,250-299k,ADDON_MAILFORWARD,Mail Forwarding Service,n/a,complex,5,modelA,Physical mail handling service (bundled in Grow package) - normalized from £35/year,A,https://www.goforma.com/pricing/,2025-01-05,England
