observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
PEN001,Penneys Accountancy,independent,SRC008,ltd,100-149k,COMP_ACCOUNTS,Year End Company Accounts,n/a,simple,95,modelA,Normalized from £1154/year,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN002,Penneys Accountancy,independent,SRC008,ltd,250-299k,COMP_ACCOUNTS,Year End Company Accounts,n/a,standard,105,modelA,Normalized from £1260/year,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN003,Penneys Accountancy,independent,SRC008,ltd,500-599k,COMP_ACCOUNTS,Year End Company Accounts,n/a,standard,125,modelA,Normalized from £1470/year,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN004,Penneys Accountancy,independent,SRC008,ltd,1.0-1.49m,COMP_ACCOUNTS,Year End Company Accounts,n/a,complex,350,modelA,Normalized from £4200/year,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN005,Penneys Accountancy,independent,SRC008,ltd,0-49k,COMP_ACCOUNTS,Dormant Company Accounts,n/a,simple,20,modelA,Normalized from £250/year,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN006,Penneys Accountancy,independent,SRC008,ltd,100-149k,COMP_ACCOUNTS_GROUP,Group Company Accounts,n/a,complex,265,modelA,Normalized from £3150/year,B,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN007,Penneys Accountancy,independent,SRC008,sole_trader,100-149k,COMP_SATR,Self Assessment Tax Return,n/a,simple,30,modelA,Normalized from £341/year - Basic sole trader,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN008,Penneys Accountancy,independent,SRC008,ltd,100-149k,COMP_SATR,Self Assessment Tax Return,n/a,simple,25,modelA,Normalized from £312/year - Company director,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN009,Penneys Accountancy,independent,SRC008,sole_trader,100-149k,COMP_SATR,Self Assessment Tax Return,n/a,standard,40,modelA,Normalized from £450/year - With property/investment income,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN010,Penneys Accountancy,independent,SRC008,llp,100-149k,COMP_ACCOUNTS,LLP Accounts & Partnership Returns,n/a,standard,100,modelA,Normalized from £1200/year,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN011,Penneys Accountancy,independent,SRC008,ltd,100-149k,PAYROLL_RUN,Payroll Services,n/a,simple,10,modelA,1-5 employees simple run £97/month,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN012,Penneys Accountancy,independent,SRC008,ltd,100-149k,PAYROLL_RUN,Payroll Services,n/a,standard,10,modelA,1-5 employees complex run £126/month,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN013,Penneys Accountancy,independent,SRC008,ltd,100-149k,PAYROLL_RUN,Payroll Services,n/a,standard,15,modelA,6-10 employees simple run £139/month,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN014,Penneys Accountancy,independent,SRC008,ltd,100-149k,PAYROLL_RUN,Payroll Services,n/a,complex,20,modelA,6-10 employees complex run £207/month,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN015,Penneys Accountancy,independent,SRC008,ltd,100-149k,PAYROLL_RUN,Payroll Services,n/a,simple,5,modelA,Director only up to 2 simple £58/month,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN016,Penneys Accountancy,independent,SRC008,ltd,100-149k,PAYROLL_RUN,Payroll Services,n/a,simple,5,modelA,Director only up to 2 complex £84/month,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN017,Penneys Accountancy,independent,SRC008,ltd,100-149k,BOOK_FULL,Bookkeeping Services,full,standard,40,usage,Hourly rate £44/hour,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN018,Penneys Accountancy,independent,SRC008,ltd,100-149k,MGMT_ACCOUNTS,Management Accounts & Forecasting,n/a,standard,40,modelA,Normalized from £499/year for ongoing management accounts,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN019,Penneys Accountancy,independent,SRC008,ltd,100-149k,CASHFLOW_SETUP,Cash Flow Forecasting,n/a,complex,130,modelA,Normalized from £1575/year for setup,B,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
PEN020,Penneys Accountancy,independent,SRC008,ltd,100-149k,ADMIN_SECRETARY,Company Secretarial Duties,n/a,simple,5,modelA,Normalized from £89/year,A,https://penneysaccountancy.co.uk/pricing/,2025-01-05,England
