observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
WLC001,West Lancs Chartered Accountants,independent,SRC046,sole_trader,0-49k,COMP_SATR,Personal Tax Package,n/a,simple,10,modelA,From £120/year converted to monthly; sole trader accounts preparation tax return completion and filing tax liability calculation HMRC liaison tax planning advice,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC002,West Lancs Chartered Accountants,independent,SRC046,sole_trader,50-99k,COMP_SATR,Personal Tax Package,n/a,simple,10,modelA,From £120/year converted to monthly; sole trader accounts preparation tax return completion and filing tax liability calculation HMRC liaison tax planning advice,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC003,West Lancs Chartered Accountants,independent,SRC046,sole_trader,100-149k,COMP_SATR,Personal Tax Package,n/a,simple,10,modelA,From £120/year converted to monthly; sole trader accounts preparation tax return completion and filing tax liability calculation HMRC liaison tax planning advice,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC004,West Lancs Chartered Accountants,independent,SRC046,ltd,0-49k,COMP_ACCOUNTS,Contractor Ltd Package,contractor,simple,50,modelA,From £50/month; annual accounts corporation tax returns VAT returns director payroll processing director personal tax returns cloud-based accounting,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC005,West Lancs Chartered Accountants,independent,SRC046,ltd,50-99k,COMP_ACCOUNTS,Contractor Ltd Package,contractor,simple,50,modelA,From £50/month; annual accounts corporation tax returns VAT returns director payroll processing director personal tax returns cloud-based accounting,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC006,West Lancs Chartered Accountants,independent,SRC046,ltd,100-149k,COMP_ACCOUNTS,Contractor Ltd Package,contractor,simple,50,modelA,From £50/month; annual accounts corporation tax returns VAT returns director payroll processing director personal tax returns cloud-based accounting,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC007,West Lancs Chartered Accountants,independent,SRC046,ltd,0-49k,COMP_ACCOUNTS,Small Business Package,small_business,simple,75,modelA,From £75/month; bookkeeping services annual and management accounts corporation tax and planning VAT returns and CIS payroll and auto-enrolment software solutions,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC008,West Lancs Chartered Accountants,independent,SRC046,ltd,50-99k,COMP_ACCOUNTS,Small Business Package,small_business,simple,75,modelA,From £75/month; bookkeeping services annual and management accounts corporation tax and planning VAT returns and CIS payroll and auto-enrolment software solutions,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC009,West Lancs Chartered Accountants,independent,SRC046,ltd,100-149k,COMP_ACCOUNTS,Small Business Package,small_business,simple,75,modelA,From £75/month; bookkeeping services annual and management accounts corporation tax and planning VAT returns and CIS payroll and auto-enrolment software solutions,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
WLC010,West Lancs Chartered Accountants,independent,SRC046,ltd,150-199k,COMP_ACCOUNTS,Small Business Package,small_business,standard,75,modelA,From £75/month; bookkeeping services annual and management accounts corporation tax and planning VAT returns and CIS payroll and auto-enrolment software solutions,C,https://www.westlancsaccountants.co.uk/pricing/,2025-01-05,England
