observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
ONE001,One Accounting,independent,SRC047,ltd,100-149k,COMP_ACCOUNTS,Bronze Package,time_saver,simple,200,modelA,Starting at £200+VAT per month; reduces administrative burden from regulatory requirements,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE002,One Accounting,independent,SRC047,ltd,150-199k,COMP_ACCOUNTS,Bronze Package,time_saver,simple,200,modelA,Starting at £200+VAT per month; reduces administrative burden from regulatory requirements,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE003,One Accounting,independent,SRC047,ltd,200-249k,COMP_ACCOUNTS,Bronze Package,time_saver,standard,200,modelA,Starting at £200+VAT per month; reduces administrative burden from regulatory requirements,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE004,One Accounting,independent,SRC047,ltd,250-299k,COMP_ACCOUNTS,Bronze Package,time_saver,standard,200,modelA,Starting at £200+VAT per month; reduces administrative burden from regulatory requirements,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE005,One Accounting,independent,SRC047,ltd,100-149k,COMP_ACCOUNTS,Silver Package,business_control,standard,400,modelA,Starting at £400+VAT per month; helps business owners regain operational control,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE006,One Accounting,independent,SRC047,ltd,150-199k,COMP_ACCOUNTS,Silver Package,business_control,standard,400,modelA,Starting at £400+VAT per month; helps business owners regain operational control,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE007,One Accounting,independent,SRC047,ltd,200-249k,COMP_ACCOUNTS,Silver Package,business_control,standard,400,modelA,Starting at £400+VAT per month; helps business owners regain operational control,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE008,One Accounting,independent,SRC047,ltd,250-299k,COMP_ACCOUNTS,Silver Package,business_control,complex,400,modelA,Starting at £400+VAT per month; helps business owners regain operational control,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE009,One Accounting,independent,SRC047,ltd,300-399k,COMP_ACCOUNTS,Silver Package,business_control,complex,400,modelA,Starting at £400+VAT per month; helps business owners regain operational control,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
ONE010,One Accounting,independent,SRC047,ltd,400-499k,COMP_ACCOUNTS,Silver Package,business_control,complex,400,modelA,Starting at £400+VAT per month; helps business owners regain operational control,C,https://www.oneaccounting.co.uk/packages-page/,2025-01-05,Scotland
