observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
GMP001,GM Professional Accountants,independent,SRC048,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts & Tax Returns,n/a,simple,21,modelA,Range from £250-£350 annual converted to monthly; prices dependent on work scale,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP002,GM Professional Accountants,independent,SRC048,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts & Tax Returns,n/a,simple,21,modelA,Range from £250-£350 annual converted to monthly; prices dependent on work scale,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP003,GM Professional Accountants,independent,SRC048,sole_trader,100-149k,COMP_SATR,Sole Trader Accounts & Tax Returns,n/a,standard,29,modelA,Upper range £350 annual converted to monthly for higher complexity,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP004,GM Professional Accountants,independent,SRC048,ltd,0-49k,COMP_ACCOUNTS,Limited Company Accounts & Tax Returns,n/a,simple,54,modelA,Range from £650-£850 annual converted to monthly; prices dependent on work scale,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP005,GM Professional Accountants,independent,SRC048,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts & Tax Returns,n/a,simple,54,modelA,Range from £650-£850 annual converted to monthly; prices dependent on work scale,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP006,GM Professional Accountants,independent,SRC048,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts & Tax Returns,n/a,standard,71,modelA,Upper range £850 annual converted to monthly for higher complexity,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP007,GM Professional Accountants,independent,SRC048,ltd,0-49k,PAYROLL_BASE,Payroll Service,per_employee,simple,8,modelA,£100-£120 per employee annual converted to monthly,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP008,GM Professional Accountants,independent,SRC048,ltd,50-99k,PAYROLL_BASE,Payroll Service,per_employee,simple,8,modelA,£100-£120 per employee annual converted to monthly,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP009,GM Professional Accountants,independent,SRC048,sole_trader,0-49k,COMP_SATR,Self-Employed Package,subscription,simple,20,modelA,Starting at £20/month subscription-based package,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP010,GM Professional Accountants,independent,SRC048,sole_trader,50-99k,COMP_SATR,Self-Employed Package,subscription,simple,20,modelA,Starting at £20/month subscription-based package,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP011,GM Professional Accountants,independent,SRC048,ltd,0-49k,COMP_ACCOUNTS,Small Business Accounting Package,subscription,simple,60,modelA,Starting at £60/month subscription-based accounting,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
GMP012,GM Professional Accountants,independent,SRC048,ltd,50-99k,COMP_ACCOUNTS,Small Business Accounting Package,subscription,simple,60,modelA,Starting at £60/month subscription-based accounting,C,https://gmprofessionalaccountants.co.uk/factsheets/how-much-are-accountant-fees-for-a-small-business/,2025-01-05,England
