observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
TAJ001,TAJ Accountants,independent,SRC049,sole_trader,0-49k,COMP_SATR,Self-Assessment Tax Return,simple,simple,8,modelA,£100-£300 annual converted to monthly; lower end for simple returns,C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ002,TAJ Accountants,independent,SRC049,sole_trader,50-99k,COMP_SATR,Self-Assessment Tax Return,simple,simple,8,modelA,£100-£300 annual converted to monthly; lower end for simple returns,C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ003,TAJ Accountants,independent,SRC049,sole_trader,100-149k,COMP_SATR,Self-Assessment Tax Return,complex,standard,25,modelA,£300 annual upper range converted to monthly for more complex returns,C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ004,TAJ Accountants,independent,SRC049,ltd,0-49k,VAT_QTR,VAT Returns,quarterly,simple,25,modelA,£75-£200 per quarterly return converted to monthly (4 returns per year),C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ005,TAJ Accountants,independent,SRC049,ltd,50-99k,VAT_QTR,VAT Returns,quarterly,simple,25,modelA,£75-£200 per quarterly return converted to monthly (4 returns per year),C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ006,TAJ Accountants,independent,SRC049,ltd,100-149k,VAT_QTR,VAT Returns,quarterly,standard,67,modelA,Upper range £200 per quarterly return converted to monthly for higher complexity,C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ007,TAJ Accountants,independent,SRC049,ltd,0-49k,PAYROLL_BASE,Payroll Service,per_payslip,simple,5,modelA,£5-£10 per payslip model,C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ008,TAJ Accountants,independent,SRC049,ltd,50-99k,PAYROLL_BASE,Payroll Service,per_payslip,simple,5,modelA,£5-£10 per payslip model,C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ009,TAJ Accountants,independent,SRC049,ltd,0-49k,PAYROLL_BASE,Payroll Service Small Teams,monthly,simple,25,modelA,£25-£100 monthly for small teams,C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
TAJ010,TAJ Accountants,independent,SRC049,ltd,50-99k,PAYROLL_BASE,Payroll Service Small Teams,monthly,simple,25,modelA,£25-£100 monthly for small teams,C,https://www.tajaccountants.co.uk/how-much-does-an-accountant-cost-per-month-in-the-uk-a-complete-guide/,2025-01-05,England
