observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
HGT001,Heights Accountancy,independent,SRC050,ltd,0-49k,COMP_ACCOUNTS,Limited Company Full Service,entry,simple,203,modelA,Annual £2430-£7430+ converted to monthly lower range; includes bookkeeping payroll VAT returns statutory accounts Corporation Tax returns director Self-Assessment,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT002,Heights Accountancy,independent,SRC050,ltd,50-99k,COMP_ACCOUNTS,Limited Company Full Service,entry,simple,203,modelA,Annual £2430-£7430+ converted to monthly lower range; includes bookkeeping payroll VAT returns statutory accounts Corporation Tax returns director Self-Assessment,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT003,Heights Accountancy,independent,SRC050,ltd,100-149k,COMP_ACCOUNTS,Limited Company Full Service,comprehensive,standard,410,modelA,Annual £2430-£7430+ converted to monthly mid-range; includes bookkeeping payroll VAT returns statutory accounts Corporation Tax returns director Self-Assessment,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT004,Heights Accountancy,independent,SRC050,ltd,150-199k,COMP_ACCOUNTS,Limited Company Full Service,comprehensive,standard,410,modelA,Annual £2430-£7430+ converted to monthly mid-range; includes bookkeeping payroll VAT returns statutory accounts Corporation Tax returns director Self-Assessment,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT005,Heights Accountancy,independent,SRC050,ltd,200-249k,COMP_ACCOUNTS,Limited Company Full Service,premium,complex,619,modelA,Annual £7430+ converted to monthly upper range; includes bookkeeping payroll VAT returns statutory accounts Corporation Tax returns director Self-Assessment,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT006,Heights Accountancy,independent,SRC050,sole_trader,0-49k,COMP_SATR,Sole Trader Full Service,entry,simple,25,modelA,Annual £300-£3700+ converted to monthly lower range; includes bookkeeping Self-Assessment tax returns year-end accounts VAT handling for registered traders,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT007,Heights Accountancy,independent,SRC050,sole_trader,50-99k,COMP_SATR,Sole Trader Full Service,standard,simple,155,modelA,Annual £300-£3700+ converted to monthly mid-range; includes bookkeeping Self-Assessment tax returns year-end accounts VAT handling for registered traders,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT008,Heights Accountancy,independent,SRC050,sole_trader,100-149k,COMP_SATR,Sole Trader Full Service,comprehensive,standard,308,modelA,Annual £3700+ converted to monthly upper range; includes bookkeeping Self-Assessment tax returns year-end accounts VAT handling for registered traders,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT009,Heights Accountancy,independent,SRC050,partnership,0-49k,COMP_ACCOUNTS,Partnership Full Service,entry,simple,67,modelA,Annual £800-£3800+ converted to monthly lower range; includes partnership accounts tax returns for partners VAT administration bookkeeping support,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
HGT010,Heights Accountancy,independent,SRC050,partnership,50-99k,COMP_ACCOUNTS,Partnership Full Service,standard,simple,192,modelA,Annual £800-£3800+ converted to monthly mid-range; includes partnership accounts tax returns for partners VAT administration bookkeeping support,C,https://heightsaccountancy.co.uk/2025/10/06/how-much-does-an-accountant-cost-uk-2025/,2025-01-05,England
