observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
MAD001,My Accounts Digital,independent,SRC053,ltd,0-49k,COMP_ACCOUNTS,Monthly Ltd Company Package,up_to_25_tx,simple,55,modelA,Monthly package up to 25 transactions; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD002,My Accounts Digital,independent,SRC053,ltd,50-99k,COMP_ACCOUNTS,Monthly Ltd Company Package,up_to_50_tx,simple,60,modelA,Monthly package up to 50 transactions; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD003,My Accounts Digital,independent,SRC053,ltd,100-149k,COMP_ACCOUNTS,Monthly Ltd Company Package,up_to_100_tx,simple,70,modelA,Monthly package up to 100 transactions; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD004,My Accounts Digital,independent,SRC053,ltd,150-199k,COMP_ACCOUNTS,Monthly Ltd Company Package,up_to_150_tx,standard,75,modelA,Monthly package up to 150 transactions; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD005,My Accounts Digital,independent,SRC053,ltd,200-249k,COMP_ACCOUNTS,Monthly Ltd Company Package,up_to_200_tx,standard,80,modelA,Monthly package up to 200 transactions; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD006,My Accounts Digital,independent,SRC053,ltd,0-49k,COMP_ACCOUNTS,Annual Ltd Company Package,statutory_from_trial_balance,simple,38,modelA,Annual £450 converted to monthly; statutory accounts from trial balance,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD007,My Accounts Digital,independent,SRC053,ltd,0-49k,COMP_ACCOUNTS,Annual Ltd Company Package,up_to_200_tx_year,simple,43,modelA,Annual £520 up to 200 transactions yearly converted to monthly; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD008,My Accounts Digital,independent,SRC053,ltd,50-99k,COMP_ACCOUNTS,Annual Ltd Company Package,up_to_400_tx_year,simple,48,modelA,Annual £580 up to 400 transactions converted to monthly; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD009,My Accounts Digital,independent,SRC053,ltd,100-149k,COMP_ACCOUNTS,Annual Ltd Company Package,up_to_600_tx_year,simple,57,modelA,Annual £680 up to 600 transactions converted to monthly; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD010,My Accounts Digital,independent,SRC053,ltd,150-199k,COMP_ACCOUNTS,Annual Ltd Company Package,up_to_800_tx_year,standard,60,modelA,Annual £720 up to 800 transactions converted to monthly; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD011,My Accounts Digital,independent,SRC053,ltd,200-249k,COMP_ACCOUNTS,Annual Ltd Company Package,up_to_1000_tx_year,standard,65,modelA,Annual £780 up to 1000 transactions converted to monthly; includes bookkeeping year-end statutory accounts one self-assessment return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
