observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
TBS001,Tom's Bookkeeping Services,independent,SRC055,sole_trader,0-49k,COMP_SATR,Sole Trader Package,1_to_5_invoices,simple,60,modelA,Monthly subscription 1-5 invoices; includes bookkeeping accounts payroll financial reports self-assessment tax returns,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS002,Tom's Bookkeeping Services,independent,SRC055,sole_trader,0-49k,COMP_SATR,Sole Trader Package,6_to_10_invoices,simple,80,modelA,Monthly subscription 6-10 invoices; includes bookkeeping accounts payroll financial reports self-assessment tax returns,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS003,Tom's Bookkeeping Services,independent,SRC055,sole_trader,50-99k,COMP_SATR,Sole Trader Package,11_to_40_invoices,simple,120,modelA,Monthly subscription 11-40 invoices; includes bookkeeping accounts payroll financial reports self-assessment tax returns,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS004,Tom's Bookkeeping Services,independent,SRC055,sole_trader,100-149k,COMP_SATR,Sole Trader Package,41_to_60_invoices,standard,160,modelA,Monthly subscription 41-60 invoices; includes bookkeeping accounts payroll financial reports self-assessment tax returns,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS005,Tom's Bookkeeping Services,independent,SRC055,sole_trader,100-149k,COMP_SATR,Sole Trader Package,61_to_80_invoices,standard,200,modelA,Monthly subscription 61-80 invoices; includes bookkeeping accounts payroll financial reports self-assessment tax returns,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS006,Tom's Bookkeeping Services,independent,SRC055,sole_trader,150-199k,COMP_SATR,Sole Trader Package,81_to_100_invoices,standard,240,modelA,Monthly subscription 81-100 invoices; includes bookkeeping accounts payroll financial reports self-assessment tax returns,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS007,Tom's Bookkeeping Services,independent,SRC055,sole_trader,200-249k,COMP_SATR,Sole Trader Package,101_to_150_invoices,complex,300,modelA,Monthly subscription 101-150 invoices; includes bookkeeping accounts payroll financial reports self-assessment tax returns,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS008,Tom's Bookkeeping Services,independent,SRC055,ltd,0-49k,COMP_ACCOUNTS,Limited Company Package,1_to_5_invoices,simple,120,modelA,Monthly subscription 1-5 invoices; includes bookkeeping accounts monthly payroll financial statements VAT declarations,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS009,Tom's Bookkeeping Services,independent,SRC055,ltd,0-49k,COMP_ACCOUNTS,Limited Company Package,6_to_10_invoices,simple,150,modelA,Monthly subscription 6-10 invoices; includes bookkeeping accounts monthly payroll financial statements VAT declarations,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS010,Tom's Bookkeeping Services,independent,SRC055,ltd,50-99k,COMP_ACCOUNTS,Limited Company Package,11_to_40_invoices,simple,200,modelA,Monthly subscription 11-40 invoices; includes bookkeeping accounts monthly payroll financial statements VAT declarations,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS011,Tom's Bookkeeping Services,independent,SRC055,ltd,100-149k,COMP_ACCOUNTS,Limited Company Package,41_to_60_invoices,standard,240,modelA,Monthly subscription 41-60 invoices; includes bookkeeping accounts monthly payroll financial statements VAT declarations,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS012,Tom's Bookkeeping Services,independent,SRC055,ltd,100-149k,COMP_ACCOUNTS,Limited Company Package,61_to_80_invoices,standard,280,modelA,Monthly subscription 61-80 invoices; includes bookkeeping accounts monthly payroll financial statements VAT declarations,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS013,Tom's Bookkeeping Services,independent,SRC055,ltd,150-199k,COMP_ACCOUNTS,Limited Company Package,81_to_100_invoices,standard,320,modelA,Monthly subscription 81-100 invoices; includes bookkeeping accounts monthly payroll financial statements VAT declarations,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
TBS014,Tom's Bookkeeping Services,independent,SRC055,ltd,200-249k,COMP_ACCOUNTS,Limited Company Package,101_to_150_invoices,complex,400,modelA,Monthly subscription 101-150 invoices; includes bookkeeping accounts monthly payroll financial statements VAT declarations,A,https://www.tomsbookkeeping.co.uk/pricing/,2025-01-05,England
