observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
ACC001,Accrue Accounting,independent,SRC012,ltd,100-149k,PACKAGE_STANDARD,Limited Company Accounting Package,full,standard,150,modelA,includes unlimited advice/support online accounting software annual accounts corporation tax return confirmation statement 1x self-assessment payroll for 2 employees VAT registration deadline reminders registered office service,A,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC002,Accrue Accounting,independent,SRC012,ltd,100-149k,PACKAGE_PLUS,Limited Company Accounting Package Plus,full,standard,180,modelA,includes all standard features plus 2x self-assessment returns and fee protection insurance covering HMRC enquiries,A,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC003,Accrue Accounting,independent,SRC012,sole_trader,100-149k,PACKAGE_BASIC,Sole Trader Accounting Package,basic,simple,50,modelA,includes unlimited advice/support online accounting software HMRC registration self-assessment tax return deadline reminders VAT registration Making Tax Digital CIS returns,A,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC004,Accrue Accounting,independent,SRC012,sole_trader,100-149k,PACKAGE_STANDARD,Sole Trader Accounting Package,basic,simple,60,modelA,same features as Basic tier including unlimited advice/support online accounting HMRC registration self-assessment VAT registration deadline reminders CIS returns,A,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC005,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_SA,Self-Assessment Additional Return,n/a,simple,10,per-filing,additional self-assessment tax return for married couples or multi-income earners,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC006,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_PAYROLL,Additional Payroll Setup,n/a,standard,15,per-employee,payroll processing for employees beyond standard package limit,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC007,Accrue Accounting,independent,SRC012,sole_trader,100-149k,ADDON_BOOKKEEPING,Bookkeeping Service,n/a,standard,30,modelA,monthly bookkeeping support and reconciliation services,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC008,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_VAT_RECOVERY,VAT Recovery Claim,n/a,standard,25,per-claim,specialist VAT recovery claim preparation and submission,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC009,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_CT_PLANNING,Corporation Tax Planning,n/a,standard,40,modelA,year-round corporation tax planning and optimization advisory,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC010,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_PAYROLL_FULL,Full Payroll Processing,n/a,standard,35,modelA,complete payroll processing PAYE RTI submissions and employee payment management,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC011,Accrue Accounting,independent,SRC012,sole_trader,100-149k,ADDON_CIS,CIS Compliance Support,n/a,standard,20,modelA,enhanced CIS subcontractor tax return and compliance support,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC012,Accrue Accounting,independent,SRC012,sole_trader,100-149k,ADDON_MTD,Making Tax Digital Support,n/a,simple,15,modelA,dedicated Making Tax Digital software and compliance support,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC013,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_DIRECTOR_LOANS,Director Loan Account Management,n/a,standard,20,modelA,monthly director loan account tracking and compliance reporting,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC014,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_FINANCIAL_REPORTING,Enhanced Financial Reporting,n/a,standard,45,modelA,quarterly financial reports management accounts and detailed financial analysis,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC015,Accrue Accounting,independent,SRC012,sole_trader,100-149k,ADDON_ANNUAL_REVIEW,Annual Tax Review,n/a,standard,5,modelA,Normalized from £50/year - comprehensive annual tax position review and optimization recommendations,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC016,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_HMRC,HMRC Correspondence Support,n/a,standard,25,per-query,dedicated HMRC enquiry and correspondence support,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC017,Accrue Accounting,independent,SRC012,sole_trader,100-149k,PACKAGE_COMPLIANCE,Sole Trader Compliance Bundle,full,standard,85,modelA,includes standard package plus bookkeeping plus CIS support plus Making Tax Digital support,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC018,Accrue Accounting,independent,SRC012,ltd,100-149k,PACKAGE_COMPLIANCE,Limited Company Compliance Bundle,full,complex,225,modelA,includes plus plan plus enhanced financial reporting plus director loan management plus HMRC correspondence support,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC019,Accrue Accounting,independent,SRC012,ltd,100-149k,PACKAGE_CONTRACTOR_BASIC,Contractor Accounting Package,basic,simple,45,modelA,includes unlimited advice/support online accounting software self-assessment tax return CIS subcontractor compliance VAT registration deadline reminders,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC020,Accrue Accounting,independent,SRC012,ltd,100-149k,PACKAGE_CONTRACTOR_PLUS,Contractor Accounting Package Plus,full,standard,75,modelA,includes Basic package plus enhanced CIS compliance support plus quarterly financial reviews plus tax planning optimization,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
ACC021,Accrue Accounting,independent,SRC012,ltd,100-149k,ADDON_CIS_LTD,CIS Compliance for Limited Companies,n/a,standard,30,modelA,specialist CIS compliance and subcontract tax return management for limited company contractors,B,https://www.accrueaccounting.co.uk/accounting-pricing/,2025-01-05,England
