observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
COC001,Coconut,independent,SRC013,sole_trader,100-149k,SOFTWARE_MONTHLY,Coconut Standard Monthly,basic,simple,10,modelA,Bank connections invoicing tax allocation MTD updates accountant access,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC002,Coconut,independent,SRC013,sole_trader,100-149k,SOFTWARE_ANNUAL,Coconut Standard Annual,basic,simple,10,modelA,Normalized from £99/year - 2 months free promotion; bank connections invoicing tax allocation MTD updates accountant access,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC003,Coconut,independent,SRC013,sole_trader,100-149k,SOFTWARE_LANDLORD_MONTHLY,Coconut Landlord Monthly,basic,simple,10,modelA,Bank connections income/expense tracking invoicing tax allocation accountant access,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC004,Coconut,independent,SRC013,sole_trader,100-149k,SOFTWARE_LANDLORD_ANNUAL,Coconut Landlord Annual,basic,simple,10,modelA,Normalized from £99/year - 2 months free promotion; annual billing,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC005,Coconut,independent,SRC013,sole_trader,100-149k,FEATURE_BANK,Bank Connections,n/a,simple,0,modelA,30+ financial institution integrations included,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC006,Coconut,independent,SRC013,sole_trader,100-149k,FEATURE_INVOICE,Invoice Management,n/a,simple,0,modelA,Unlimited branded invoice creation and tracking included,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC007,Coconut,independent,SRC013,sole_trader,100-149k,FEATURE_TAX,Tax Calculation,n/a,simple,0,modelA,Automated tax allocation calculations included,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC008,Coconut,independent,SRC013,sole_trader,100-149k,FEATURE_CLIENT,Client Sharing,n/a,simple,0,modelA,Accountant and client access sharing capabilities included,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC009,Coconut,independent,SRC013,sole_trader,100-149k,FEATURE_MTD,Making Tax Digital,n/a,simple,0,modelA,Automated MTD quarterly submissions included,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC010,Coconut,independent,SRC013,sole_trader,100-149k,FEATURE_YEAREND,Year-End Submission,n/a,simple,0,modelA,Tax return preparation and submission included,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC011,Coconut,independent,SRC013,sole_trader,100-149k,FEATURE_ACCESS,Mobile & Desktop Access,n/a,simple,0,modelA,Full platform access on all devices included,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC012,Coconut,independent,SRC013,sole_trader,100-149k,FEATURE_EXPENSE,Operating Expense,n/a,simple,0,modelA,Claimable as allowable business expense,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC013,Coconut,independent,SRC013,sole_trader,100-149k,PROMO_ZEMPLER,Coconut via Zempler Partnership,basic,simple,0,partnership,Two years free access through Zempler bank account opening,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC014,Coconut,independent,SRC013,sole_trader,100-149k,TRIAL,Free Trial Period,basic,simple,0,trial,30-day free trial with full feature access no payment details required,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC015,Coconut,independent,SRC013,sole_trader,100-149k,SOFTWARE_LANDLORD_RENTAL,Coconut Landlord Rental Income,basic,simple,10,modelA,Full bookkeeping and tax compliance for rental income,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC016,Coconut,independent,SRC013,sole_trader,100-149k,SOFTWARE_CORE,Core Bookkeeping,basic,simple,10,modelA,Bundled core bookkeeping features,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC017,Coconut,independent,SRC013,sole_trader,0-49k,SOFTWARE_STARTUP,Startup Package,basic,simple,10,modelA,Simple bookkeeping for early-stage businesses,A,https://www.getcoconut.com/pricing,2025-01-05,England
COC018,Coconut,independent,SRC013,sole_trader,100-149k,SOFTWARE_GROWTH,Growth Package,basic,simple,10,modelA,Standard bookkeeping for growing businesses,A,https://www.getcoconut.com/pricing,2025-01-05,England
