observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
RJA001,RJ Accountancy Limited,independent,SRC011,ltd,0-49k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,25,modelA,Normalized from £300/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA002,RJ Accountancy Limited,independent,SRC011,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,30,modelA,Normalized from £360/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA003,RJ Accountancy Limited,independent,SRC011,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,35,modelA,Normalized from £420/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA004,RJ Accountancy Limited,independent,SRC011,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,40,modelA,Normalized from £480/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA005,RJ Accountancy Limited,independent,SRC011,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,45,modelA,Normalized from £540/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA006,RJ Accountancy Limited,independent,SRC011,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,50,modelA,Normalized from £600/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA007,RJ Accountancy Limited,independent,SRC011,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,55,modelA,Normalized from £660/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA008,RJ Accountancy Limited,independent,SRC011,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,60,modelA,Normalized from £720/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA009,RJ Accountancy Limited,independent,SRC011,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,65,modelA,Normalized from £780/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA010,RJ Accountancy Limited,independent,SRC011,ltd,150-199k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,70,modelA,Normalized from £840/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA011,RJ Accountancy Limited,independent,SRC011,ltd,200-249k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,75,modelA,Normalized from £900/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA012,RJ Accountancy Limited,independent,SRC011,ltd,250-299k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,80,modelA,Normalized from £960/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA013,RJ Accountancy Limited,independent,SRC011,ltd,300-399k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,85,modelA,Normalized from £1020/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA014,RJ Accountancy Limited,independent,SRC011,ltd,400-499k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,90,modelA,Normalized from £1080/year - Preparation and Companies House filing with corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA015,RJ Accountancy Limited,independent,SRC011,sole_trader,100-149k,COMP_SATR,Self-Assessment Return,n/a,simple,15,modelA,Normalized from £179/year - Basic personal tax return for PAYE dividends interest or pension income,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA016,RJ Accountancy Limited,independent,SRC011,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts,n/a,simple,5,modelA,Normalized from £45/year - Annual accounts preparation,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA017,RJ Accountancy Limited,independent,SRC011,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts,n/a,simple,10,modelA,Normalized from £95/year - Annual accounts preparation,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA018,RJ Accountancy Limited,independent,SRC011,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts,n/a,simple,15,modelA,Normalized from £155/year - Annual accounts preparation,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA019,RJ Accountancy Limited,independent,SRC011,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts,n/a,simple,20,modelA,Normalized from £205/year - Annual accounts preparation,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA020,RJ Accountancy Limited,independent,SRC011,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts,n/a,simple,25,modelA,Normalized from £255/year - Annual accounts preparation,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
