observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
ULT001,UK Landlord Tax,independent,SRC060,sole_trader,0-49k,LANDLORD_TAX,UK Landlord Single Owner,1_property,simple,15,modelA,Annual £175+VAT converted to monthly; single owner 1 property landlord tax return,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT002,UK Landlord Tax,independent,SRC060,sole_trader,50-99k,LANDLORD_TAX,UK Landlord Single Owner,2_properties,simple,17,modelA,Annual £200+VAT converted to monthly; single owner 2 properties landlord tax return,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT003,UK Landlord Tax,independent,SRC060,sole_trader,100-149k,LANDLORD_TAX,UK Landlord Single Owner,3_properties,simple,19,modelA,Annual £225+VAT converted to monthly; single owner 3 properties landlord tax return,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT004,UK Landlord Tax,independent,SRC060,partnership,0-49k,LANDLORD_TAX,UK Landlord Joint Owners,1_property,simple,25,modelA,Annual £300+VAT converted to monthly; joint owners 1 property landlord tax return,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT005,UK Landlord Tax,independent,SRC060,partnership,50-99k,LANDLORD_TAX,UK Landlord Joint Owners,2_properties,simple,29,modelA,Annual £350+VAT converted to monthly; joint owners 2 properties landlord tax return,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT006,UK Landlord Tax,independent,SRC060,partnership,100-149k,LANDLORD_TAX,UK Landlord Joint Owners,3_properties,simple,33,modelA,Annual £400+VAT converted to monthly; joint owners 3 properties landlord tax return,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT007,UK Landlord Tax,independent,SRC060,sole_trader,0-49k,LANDLORD_TAX,Non-Resident Landlord Single Owner,1_property,simple,17,modelA,Annual £200 no VAT converted to monthly; non-resident single owner 1 property,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT008,UK Landlord Tax,independent,SRC060,sole_trader,50-99k,LANDLORD_TAX,Non-Resident Landlord Single Owner,2_properties,simple,21,modelA,Annual £250 no VAT converted to monthly; non-resident single owner 2 properties,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT009,UK Landlord Tax,independent,SRC060,sole_trader,100-149k,LANDLORD_TAX,Non-Resident Landlord Single Owner,3_properties,simple,25,modelA,Annual £300 no VAT converted to monthly; non-resident single owner 3 properties,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT010,UK Landlord Tax,independent,SRC060,partnership,0-49k,LANDLORD_TAX,Non-Resident Landlord Joint Owners,1_property,simple,27,modelA,Annual £320 no VAT converted to monthly; non-resident joint owners 1 property,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT011,UK Landlord Tax,independent,SRC060,partnership,50-99k,LANDLORD_TAX,Non-Resident Landlord Joint Owners,2_properties,simple,32,modelA,Annual £380 no VAT converted to monthly; non-resident joint owners 2 properties,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT012,UK Landlord Tax,independent,SRC060,partnership,100-149k,LANDLORD_TAX,Non-Resident Landlord Joint Owners,3_properties,simple,37,modelA,Annual £440 no VAT converted to monthly; non-resident joint owners 3 properties,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT013,UK Landlord Tax,independent,SRC060,ltd,0-49k,COMP_INCORPORATION,Company Incorporation,standard_setup,simple,10,modelA,One-time £125+VAT converted to monthly; standard company incorporation,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT014,UK Landlord Tax,independent,SRC060,ltd,0-49k,COMP_INCORPORATION,Company Incorporation,property_management,simple,10,modelA,One-time £125+VAT converted to monthly; property management company incorporation,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT015,UK Landlord Tax,independent,SRC060,ltd,0-49k,COMP_ACCOUNTS,Limited Company Annual Accounts,property_business,simple,48,modelA,Annual £575+VAT converted to monthly; property limited company annual accounts,C,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT016,UK Landlord Tax,independent,SRC060,ltd,50-99k,COMP_ACCOUNTS,Limited Company Annual Accounts,property_business,simple,48,modelA,Annual £575+VAT converted to monthly; property limited company annual accounts,C,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT017,UK Landlord Tax,independent,SRC060,ltd,100-149k,COMP_ACCOUNTS,Limited Company Annual Accounts,property_business,simple,48,modelA,Annual £575+VAT converted to monthly; property limited company annual accounts,C,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT018,UK Landlord Tax,independent,SRC060,ltd,0-49k,MGMT_ACCTS,Quarterly Accounts,property_business,simple,75,modelA,£75+VAT per month; quarterly management accounts for property companies,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT019,UK Landlord Tax,independent,SRC060,ltd,50-99k,MGMT_ACCTS,Quarterly Accounts,property_business,simple,75,modelA,£75+VAT per month; quarterly management accounts for property companies,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT020,UK Landlord Tax,independent,SRC060,ltd,100-149k,MGMT_ACCTS,Quarterly Accounts,property_business,simple,75,modelA,£75+VAT per month; quarterly management accounts for property companies,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT021,UK Landlord Tax,independent,SRC060,ltd,0-49k,COMP_CONFIRMATION,Confirmation Statement,n/a,simple,6,modelA,Annual £70+VAT converted to monthly; Companies House confirmation statement,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT022,UK Landlord Tax,independent,SRC060,ltd,0-49k,REGISTERED_OFFICE,Registered Office Service,n/a,simple,6,modelA,Annual £70+VAT converted to monthly; registered office service,A,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT023,UK Landlord Tax,independent,SRC060,sole_trader,0-49k,CGT_FILING,Capital Gains Tax,standard,simple,13,modelA,From £150+VAT one-time converted to monthly; capital gains tax filing,C,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT024,UK Landlord Tax,independent,SRC060,sole_trader,50-99k,CGT_FILING,Capital Gains Tax,standard,simple,13,modelA,From £150+VAT one-time converted to monthly; capital gains tax filing,C,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT025,UK Landlord Tax,independent,SRC060,sole_trader,0-49k,LANDLORD_TAX,Airbnb Services,short_term_rental,simple,56,modelA,From £675+VAT one-time converted to monthly; Airbnb short-term rental property tax services,C,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
ULT026,UK Landlord Tax,independent,SRC060,sole_trader,50-99k,LANDLORD_TAX,Airbnb Services,short_term_rental,simple,56,modelA,From £675+VAT one-time converted to monthly; Airbnb short-term rental property tax services,C,https://uklandlordtax.co.uk/fixed-fees/,2025-01-05,England
