observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
ELV001,Elver E-Commerce Accountants,independent,SRC061,ltd,50-99k,COMP_ACCOUNTS,Amazon Startup Package,ecommerce,simple,150,modelA,Example package £150+VAT/month; £75k turnover Amazon startup includes compliance accounts bookkeeping software,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV002,Elver E-Commerce Accountants,independent,SRC061,ltd,1.0-1.49m,COMP_ACCOUNTS,Shopify Package,ecommerce,standard,642,modelA,Example package £642+VAT/month; £1m turnover Shopify includes compliance accounts bookkeeping software,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV003,Elver E-Commerce Accountants,independent,SRC061,ltd,3.0m+,COMP_ACCOUNTS,Multi-Channel Package,ecommerce,complex,2096,modelA,Example package £2096+VAT/month; £5m turnover multi-channel includes compliance accounts bookkeeping software,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV004,Elver E-Commerce Accountants,independent,SRC061,ltd,3.0m+,COMP_ACCOUNTS,Multi-Channel International Package,ecommerce,very_complex,3704,modelA,Example package £3704+VAT/month; £10m turnover multi-channel international includes compliance accounts bookkeeping software international VAT/GST,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV005,Elver E-Commerce Accountants,independent,SRC061,ltd,0-49k,BOOK_STANDARD,Amazon Revenue Reconciliation,per_region,simple,32,modelA,£32+VAT/month per Amazon region; revenue reconciliation bookkeeping service,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV006,Elver E-Commerce Accountants,independent,SRC061,ltd,0-49k,BOOK_STANDARD,Etsy Revenue Reconciliation,per_store,simple,32,modelA,£32+VAT/month per Etsy store; revenue reconciliation bookkeeping service,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV007,Elver E-Commerce Accountants,independent,SRC061,ltd,0-49k,BOOK_STANDARD,eBay Revenue Reconciliation,per_store,simple,32,modelA,£32+VAT/month per eBay store; revenue reconciliation bookkeeping service,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV008,Elver E-Commerce Accountants,independent,SRC061,ltd,0-49k,SOFTWARE_BUNDLE,Xero + A2X Basic Bundle,software,simple,108,modelA,£108+VAT/month; Xero Comprehensive + Briefcase + A2X Basic; e-commerce software bundle,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV009,Elver E-Commerce Accountants,independent,SRC061,ltd,0-49k,SOFTWARE_BUNDLE,Xero + A2X Standard Bundle,software,simple,123,modelA,£123+VAT/month; Xero Comprehensive + Briefcase + A2X Standard; e-commerce software bundle,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV010,Elver E-Commerce Accountants,independent,SRC061,ltd,50-99k,SOFTWARE_BUNDLE,Xero + A2X Multi-Platform Bundle,software,simple,129,modelA,£129+VAT/month; Xero Comprehensive + Briefcase + A2X Multi-platform 1K; e-commerce software bundle,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV011,Elver E-Commerce Accountants,independent,SRC061,ltd,0-49k,VAT_QTR,Quarterly VAT Return,standard,simple,21,modelA,£21+VAT/month; quarterly VAT returns for e-commerce businesses,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV012,Elver E-Commerce Accountants,independent,SRC061,ltd,0-49k,VAT_QTR,Quarterly VAT Return FRS,flat_rate_scheme,simple,42,modelA,£42+VAT/month; quarterly VAT returns flat rate scheme for e-commerce businesses,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV013,Elver E-Commerce Accountants,independent,SRC061,ltd,0-49k,MGMT_ACCTS,Management Accounts,basic,simple,74,modelA,£74+VAT/month; basic management accounts for e-commerce businesses,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
ELV014,Elver E-Commerce Accountants,independent,SRC061,ltd,1.0-1.49m,MGMT_ACCTS,Management Accounts,advanced,standard,649,modelA,£649+VAT/month; advanced management accounts custom reporting consolidation for e-commerce businesses,A,https://www.elverecommerceaccountants.co.uk/pricing/,2025-01-05,England
