observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
DSH001,Doshi Accountants,independent,SRC063,sole_trader,0-49k,COMP_SATR,Accounts & Tax Returns,standard,simple,60,modelA,Annual £700+VAT converted to monthly; includes annual accounts self-assessment tax planning HMRC submission,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH002,Doshi Accountants,independent,SRC063,ltd,0-49k,COMP_ACCOUNTS,Accounts & Tax Returns,standard,simple,75,modelA,Annual £875+VAT converted to monthly; includes annual accounts corporation tax return Companies House filing tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH003,Doshi Accountants,independent,SRC063,sole_trader,50-99k,COMP_SATR,Accounts & Tax Returns,standard,simple,70,modelA,Annual £850+VAT converted to monthly; includes annual accounts self-assessment tax planning HMRC submission,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH004,Doshi Accountants,independent,SRC063,ltd,50-99k,COMP_ACCOUNTS,Accounts & Tax Returns,standard,simple,80,modelA,Annual £975+VAT converted to monthly; includes annual accounts corporation tax return Companies House filing tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH005,Doshi Accountants,independent,SRC063,sole_trader,100-149k,COMP_SATR,Accounts & Tax Returns,standard,simple,75,modelA,Annual £900+VAT converted to monthly; includes annual accounts self-assessment tax planning HMRC submission,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH006,Doshi Accountants,independent,SRC063,ltd,100-149k,COMP_ACCOUNTS,Accounts & Tax Returns,standard,simple,90,modelA,Annual £1100+VAT converted to monthly; includes annual accounts corporation tax return Companies House filing tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH007,Doshi Accountants,independent,SRC063,sole_trader,150-199k,COMP_SATR,Accounts & Tax Returns,standard,simple,85,modelA,Annual £1000+VAT converted to monthly; includes annual accounts self-assessment tax planning HMRC submission,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH008,Doshi Accountants,independent,SRC063,ltd,150-199k,COMP_ACCOUNTS,Accounts & Tax Returns,standard,simple,105,modelA,Annual £1250+VAT converted to monthly; includes annual accounts corporation tax return Companies House filing tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH009,Doshi Accountants,independent,SRC063,sole_trader,250-299k,COMP_SATR,Accounts & Tax Returns,standard,simple,110,modelA,Annual £1300+VAT converted to monthly; includes annual accounts self-assessment tax planning HMRC submission,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH010,Doshi Accountants,independent,SRC063,ltd,250-299k,COMP_ACCOUNTS,Accounts & Tax Returns,standard,simple,125,modelA,Annual £1500+VAT converted to monthly; includes annual accounts corporation tax return Companies House filing tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH011,Doshi Accountants,independent,SRC063,sole_trader,400-499k,COMP_SATR,Accounts & Tax Returns,standard,simple,115,modelA,Annual £1400+VAT converted to monthly; includes annual accounts self-assessment tax planning HMRC submission,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH012,Doshi Accountants,independent,SRC063,ltd,400-499k,COMP_ACCOUNTS,Accounts & Tax Returns,standard,simple,135,modelA,Annual £1600+VAT converted to monthly; includes annual accounts corporation tax return Companies House filing tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH013,Doshi Accountants,independent,SRC063,sole_trader,500-599k,COMP_SATR,Accounts & Tax Returns,standard,simple,135,modelA,Annual £1600+VAT converted to monthly; includes annual accounts self-assessment tax planning HMRC submission,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH014,Doshi Accountants,independent,SRC063,ltd,500-599k,COMP_ACCOUNTS,Accounts & Tax Returns,standard,simple,150,modelA,Annual £1800+VAT converted to monthly; includes annual accounts corporation tax return Companies House filing tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH015,Doshi Accountants,independent,SRC063,sole_trader,750-999k,COMP_SATR,Accounts & Tax Returns,standard,simple,150,modelA,Annual £1800+VAT converted to monthly; includes annual accounts self-assessment tax planning HMRC submission,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH016,Doshi Accountants,independent,SRC063,ltd,750-999k,COMP_ACCOUNTS,Accounts & Tax Returns,standard,simple,165,modelA,Annual £2000+VAT converted to monthly; includes annual accounts corporation tax return Companies House filing tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH017,Doshi Accountants,independent,SRC063,partnership,0-49k,PARTNERSHIP_RETURN,Partnership Return + 2 Partners,standard,simple,30,modelA,Annual £350+VAT converted to monthly; combined income £0-99k includes partnership return electronic submission tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH018,Doshi Accountants,independent,SRC063,partnership,100-149k,PARTNERSHIP_RETURN,Partnership Return + 2 Partners,standard,simple,35,modelA,Annual £400+VAT converted to monthly; combined income £100-149k includes partnership return electronic submission tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
