observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
DSH101,Doshi Accountants,independent,SRC063,ltd,0-49k,VAT_QTR,VAT Returns MTD,standard,simple,45,modelA,Annual £550+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH102,Doshi Accountants,independent,SRC063,ltd,100-149k,VAT_QTR,VAT Returns MTD,standard,simple,65,modelA,Annual £750+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH103,Doshi Accountants,independent,SRC063,ltd,150-199k,VAT_QTR,VAT Returns MTD,standard,simple,70,modelA,Annual £850+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH104,Doshi Accountants,independent,SRC063,ltd,250-299k,VAT_QTR,VAT Returns MTD,standard,simple,80,modelA,Annual £950+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH105,Doshi Accountants,independent,SRC063,ltd,400-499k,VAT_QTR,VAT Returns MTD,standard,simple,95,modelA,Annual £1150+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH106,Doshi Accountants,independent,SRC063,ltd,500-599k,VAT_QTR,VAT Returns MTD,standard,simple,135,modelA,Annual £1600+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH107,Doshi Accountants,independent,SRC063,ltd,750-999k,VAT_QTR,VAT Returns MTD,standard,simple,160,modelA,Annual £1900+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH108,Doshi Accountants,independent,SRC063,ltd,1.0-1.49m,VAT_QTR,VAT Returns MTD,standard,standard,190,modelA,Annual £2300+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH109,Doshi Accountants,independent,SRC063,ltd,1.5-2.0m,VAT_QTR,VAT Returns MTD,standard,standard,210,modelA,Annual £2500+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH110,Doshi Accountants,independent,SRC063,ltd,2.0-3.0m,VAT_QTR,VAT Returns MTD,standard,standard,240,modelA,Annual £2900+VAT converted to monthly; includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH111,Doshi Accountants,independent,SRC063,ltd,3.0m+,VAT_QTR,VAT Returns MTD,standard,complex,260,modelA,Annual £3100+VAT converted to monthly; £3-3.49m turnover includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH112,Doshi Accountants,independent,SRC063,ltd,3.0m+,VAT_QTR,VAT Returns MTD,standard,complex,310,modelA,Annual £3700+VAT converted to monthly; £4-4.99m turnover includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH113,Doshi Accountants,independent,SRC063,ltd,3.0m+,VAT_QTR,VAT Returns MTD,standard,complex,375,modelA,Annual £4500+VAT converted to monthly; £6-6.99m turnover includes quarterly returns optimal scheme selection HMRC representation MTD compliant,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
