observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
DSH201,Doshi Accountants,independent,SRC063,ltd,0-49k,MGMT_ACCTS,Management Accounts Quarterly,quarterly,simple,35,modelA,Annual £400+VAT converted to monthly; quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH202,Doshi Accountants,independent,SRC063,ltd,0-49k,MGMT_ACCTS,Management Accounts Monthly,monthly,simple,100,modelA,Annual £1200+VAT converted to monthly (£400 + £800 monthly fee); monthly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH203,Doshi Accountants,independent,SRC063,ltd,250-299k,MGMT_ACCTS,Management Accounts Quarterly,quarterly,simple,50,modelA,Annual £600+VAT converted to monthly; quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH204,Doshi Accountants,independent,SRC063,ltd,250-299k,MGMT_ACCTS,Management Accounts Monthly,monthly,simple,115,modelA,Annual £1400+VAT converted to monthly (£600 + £800 monthly fee); monthly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH205,Doshi Accountants,independent,SRC063,ltd,500-599k,MGMT_ACCTS,Management Accounts Quarterly,quarterly,simple,60,modelA,Annual £700+VAT converted to monthly; quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH206,Doshi Accountants,independent,SRC063,ltd,500-599k,MGMT_ACCTS,Management Accounts Monthly,monthly,simple,125,modelA,Annual £1500+VAT converted to monthly (£700 + £800 monthly fee); monthly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH207,Doshi Accountants,independent,SRC063,ltd,750-999k,MGMT_ACCTS,Management Accounts Quarterly,quarterly,simple,65,modelA,Annual £800+VAT converted to monthly; quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH208,Doshi Accountants,independent,SRC063,ltd,750-999k,MGMT_ACCTS,Management Accounts Monthly,monthly,simple,135,modelA,Annual £1600+VAT converted to monthly (£800 + £800 monthly fee); monthly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH209,Doshi Accountants,independent,SRC063,ltd,1.0-1.49m,MGMT_ACCTS,Management Accounts Quarterly,quarterly,standard,85,modelA,Annual £1000+VAT converted to monthly; quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH210,Doshi Accountants,independent,SRC063,ltd,1.5-2.0m,MGMT_ACCTS,Management Accounts Quarterly,quarterly,standard,100,modelA,Annual £1200+VAT converted to monthly; quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH211,Doshi Accountants,independent,SRC063,ltd,2.0-3.0m,MGMT_ACCTS,Management Accounts Quarterly,quarterly,standard,110,modelA,Annual £1300+VAT converted to monthly; quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH212,Doshi Accountants,independent,SRC063,ltd,3.0m+,MGMT_ACCTS,Management Accounts Quarterly,quarterly,standard,115,modelA,Annual £1400+VAT converted to monthly; £3-3.49m turnover quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH213,Doshi Accountants,independent,SRC063,ltd,3.0m+,MGMT_ACCTS,Management Accounts Quarterly,quarterly,complex,135,modelA,Annual £1600+VAT converted to monthly; £4-4.99m turnover quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH214,Doshi Accountants,independent,SRC063,ltd,3.0m+,MGMT_ACCTS,Management Accounts Quarterly,quarterly,complex,150,modelA,Annual £1800+VAT converted to monthly; £6-6.99m turnover quarterly management accounts preparation analysis reporting,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
