observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
TOA001,The Online Accountants,independent,SRC015,ltd,0-49k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,25,modelA,Normalized from £290/year - iXBRL Accounts Filed to Companies House Corporation Tax CT600 Return Filed to HMRC Accounts Review 7-14 day turnaround,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA002,The Online Accountants,independent,SRC015,ltd,50-99k,COMP_ACCOUNTS,Limited Company Accounts,n/a,simple,40,modelA,Normalized from £460/year - iXBRL Accounts Filed to Companies House Corporation Tax CT600 Return Filed to HMRC Accounts Review 7-14 day turnaround,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA003,The Online Accountants,independent,SRC015,ltd,100-149k,COMP_ACCOUNTS,Limited Company Accounts,n/a,standard,55,modelA,Normalized from £625/year - iXBRL Accounts Filed to Companies House Corporation Tax CT600 Return Filed to HMRC Accounts Review 7-14 day turnaround,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA004,The Online Accountants,independent,SRC015,ltd,0-49k,COMP_ACCOUNTS,Limited Company Accounts Dormant,n/a,simple,15,modelA,Normalized from £165/year - Dormant company accounts filing no changes,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA005,The Online Accountants,independent,SRC015,sole_trader,0-49k,COMP_SATR,Self-Employed Accounts,n/a,simple,30,modelA,Normalized from £330/year - Self-employment accounts Self-assessment tax return filing one rental property Bookkeeping review,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA006,The Online Accountants,independent,SRC015,sole_trader,50-99k,COMP_SATR,Self-Employed Accounts,n/a,simple,40,modelA,Normalized from £500/year - Self-employment accounts Self-assessment tax return filing one rental property Bookkeeping review,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA007,The Online Accountants,independent,SRC015,sole_trader,100-149k,COMP_SATR,Self-Employed Accounts,n/a,standard,55,modelA,Normalized from £665/year - Self-employment accounts Self-assessment tax return filing one rental property Bookkeeping review,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA008,The Online Accountants,independent,SRC015,partnership,100-149k,COMP_PARTNERSHIP,Partnership Accounts,n/a,standard,35,modelA,Normalized from £415/year - Partnership accounts filing,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA009,The Online Accountants,independent,SRC015,partnership,100-149k,COMP_PARTNERSHIP_PARTNER,Partner Tax Returns,n/a,standard,15,modelA,Normalized from £165/year - Per partner tax return filing,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA010,The Online Accountants,independent,SRC015,ltd,0-49k,COMP_CT,Corporation Tax CT600 Return,n/a,simple,15,modelA,Normalized from £145/year - Corporation Tax Calculated CT600 Return Filed to HMRC,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA011,The Online Accountants,independent,SRC015,ltd,50-99k,COMP_CT,Corporation Tax CT600 Return,n/a,simple,15,modelA,Normalized from £145/year - Corporation Tax Calculated CT600 Return Filed to HMRC,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA012,The Online Accountants,independent,SRC015,ltd,100-149k,COMP_CT,Corporation Tax CT600 Return,n/a,standard,15,modelA,Normalized from £145/year - Corporation Tax Calculated CT600 Return Filed to HMRC,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA013,The Online Accountants,independent,SRC015,sole_trader,50-99k,COMP_SATR,Self-Assessment Tax Return,n/a,simple,15,modelA,Normalized from £145/year - Self-assessment tax return filing to HMRC,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA014,The Online Accountants,independent,SRC015,sole_trader,100-149k,COMP_SATR,Self-Assessment Tax Return,n/a,standard,15,modelA,Normalized from £145/year - Self-assessment tax return filing to HMRC,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA015,The Online Accountants,independent,SRC015,ltd,100-149k,BOOK_REVIEW,Bookkeeping Services,n/a,simple,15,modelA,Normalized from £145/year - Bookkeeping review and audit trail verification,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA016,The Online Accountants,independent,SRC015,sole_trader,100-149k,BOOK_REVIEW,Bookkeeping Services,n/a,simple,15,modelA,Normalized from £145/year - Bookkeeping review and audit trail verification,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA017,The Online Accountants,independent,SRC015,ltd,100-149k,COMP_IXBRL,iXBRL Accounts Filing,n/a,simple,15,modelA,Normalized from £145/year - iXBRL Accounts Filed to Companies House automated format compliance,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA018,The Online Accountants,independent,SRC015,sole_trader,100-149k,PROPERTY_RENTAL,Rental Property Accounts,n/a,simple,15,modelA,Normalized from £165/year - One rental property accounts included with self-employed package,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
TOA019,The Online Accountants,independent,SRC015,partnership,100-149k,COMP_PARTNERSHIP_FILING,Partnership Accounts Filing,n/a,standard,35,modelA,Normalized from £415/year - Partnership accounts preparation and filing,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
