observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
QTR001,Quick Tax Returns,independent,SRC017,sole_trader,0-49k,COMP_SATR,Self-Assessment Tax Return,n/a,simple,15,modelA,Normalized from £150/year - Basic freelancer returns HMRC submission included,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR002,Quick Tax Returns,independent,SRC017,sole_trader,0-49k,COMP_SATR,Self-Assessment Tax Return,n/a,simple,15,modelA,Normalized from £200/year - Fixed fee package for self-employed sole traders,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR003,Quick Tax Returns,independent,SRC017,sole_trader,50-99k,COMP_SATR,Self-Assessment Tax Return,n/a,simple,25,modelA,Normalized from £300/year - Self-employed with standard income sources,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR004,Quick Tax Returns,independent,SRC017,sole_trader,100-149k,COMP_SATR,Self-Assessment Tax Return,n/a,standard,30,modelA,Normalized from £350/year - Higher turnover self-employment returns,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR005,Quick Tax Returns,independent,SRC017,sole_trader,100-149k,COMP_SATR,Self-Assessment Tax Return,n/a,complex,25,modelA,Normalized from £300/year - Complex self-employment with multiple income sources,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR006,Quick Tax Returns,independent,SRC017,ltd,0-49k,COMP_CT,Corporation Tax Return,n/a,simple,20,modelA,Normalized from £250/year - Directors tax return basic limited company,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR007,Quick Tax Returns,independent,SRC017,ltd,100-149k,COMP_CT,Corporation Tax Return,n/a,standard,30,modelA,Normalized from £350/year - Directors tax return with standard complexity,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR008,Quick Tax Returns,independent,SRC017,ltd,100-149k,COMP_CT,Corporation Tax Return,n/a,complex,35,modelA,Normalized from £400/year - Directors tax return complex company structures,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR009,Quick Tax Returns,independent,SRC017,partnership,0-49k,COMP_PARTNERSHIP,Partnership Tax Return,n/a,simple,15,modelA,Normalized from £200/year - Partnership returns basic structure,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR010,Quick Tax Returns,independent,SRC017,partnership,100-149k,COMP_PARTNERSHIP,Partnership Tax Return,n/a,standard,25,modelA,Normalized from £300/year - Partnership returns with moderate complexity,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR011,Quick Tax Returns,independent,SRC017,partnership,100-149k,COMP_PARTNERSHIP,Partnership Tax Return,n/a,complex,35,modelA,Normalized from £400/year - Partnership returns with complex structures,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR012,Quick Tax Returns,independent,SRC017,sole_trader,0-49k,PROPERTY_RENTAL,Rental Property Income,n/a,simple,10,modelA,Normalized from £100/year - Single rental property supplementary service,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR013,Quick Tax Returns,independent,SRC017,sole_trader,100-149k,PROPERTY_RENTAL,Rental Property Income,n/a,standard,15,modelA,Normalized from £150/year - Multiple rental properties supplementary service,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR014,Quick Tax Returns,independent,SRC017,ltd,0-49k,PROPERTY_COMPANY,Property Company Tax Return,n/a,standard,25,modelA,Normalized from £300/year - Limited company with property rental income,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR015,Quick Tax Returns,independent,SRC017,sole_trader,0-49k,COMP_SATR_OPT,Self-Assessment with Expense Optimization,n/a,simple,20,modelA,Normalized from £250/year - Standard self-assessment with expense claim optimization,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR016,Quick Tax Returns,independent,SRC017,sole_trader,50-99k,COMP_SATR_PLANNING,Self-Assessment with Tax Planning,n/a,standard,30,modelA,Normalized from £350/year - Self-assessment with situation-specific tax planning guidance,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR017,Quick Tax Returns,independent,SRC017,ltd,100-149k,COMP_CT_OPT,Corporation Tax with Optimization,n/a,standard,40,modelA,Normalized from £450/year - Directors tax return with expense and tax optimization,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
QTR018,Quick Tax Returns,independent,SRC017,sole_trader,100-149k,COMP_SATR_COMPLEX,Self-Assessment Complex Multi-Income,n/a,complex,50,modelA,Normalized from £600/year - Complex self-employment with multiple diversified income sources,A,https://www.quicktaxreturns.co.uk/accountant-fees-for-tax-returns-uk-2025/,2025-01-05,England
