observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
XCT001,Xcountant,independent,SRC016,ltd,100-149k,BOOK_REMOTE,Bookkeeping Services,basic,simple,150,usage,Remote bookkeeping; VAT returns; payroll; auto-enrolment,B,https://xcountant.com/accountants-fees,2025-01-05,England
XCT002,Xcountant,independent,SRC016,ltd,100-149k,BOOK_ONSITE,Bookkeeping Services,full,simple,200,usage,On-site bookkeeping London only; VAT returns; payroll,B,https://xcountant.com/accountants-fees,2025-01-05,London
XCT003,Xcountant,independent,SRC016,ltd,50-99k,COMP_ACCOUNTS,Year-End Accounts,n/a,simple,5,modelA,Normalized from £29/year - Micro company; FRS 105; statutory accounts; online filing,B,https://xcountant.com/accountants-fees,2025-01-05,England
XCT004,Xcountant,independent,SRC016,ltd,1.0-1.49m,COMP_ACCOUNTS,Year-End Accounts,n/a,complex,105,modelA,Normalized from £1250/year - Small company; FRS 102 1A; statutory accounts; online filing,B,https://xcountant.com/accountants-fees,2025-01-05,England
XCT005,Xcountant,independent,SRC016,ltd,0-49k,COMP_ACCOUNTS,Dormant Company Accounts,n/a,simple,5,modelA,Normalized from £8/year - Dormant company accounts and tax return,B,https://xcountant.com/accountants-fees,2025-01-05,England
XCT006,Xcountant,independent,SRC016,sole_trader,100-149k,COMP_SATR,Personal Tax Service,n/a,simple,15,modelA,Normalized from £150/year - Self Assessment standard return,B,https://xcountant.com/accountants-fees,2025-01-05,England
XCT007,Xcountant,independent,SRC016,sole_trader,100-149k,COMP_SATR,Personal Tax Service,n/a,simple,5,modelA,Normalized from £75/year - Self Assessment basic return; employment/dividend/interest only,B,https://xcountant.com/accountants-fees,2025-01-05,England
XCT008,Xcountant,independent,SRC016,ltd,100-149k,ADMIN_REFERENCE,Accountant Reference Letter,n/a,simple,5,fixed,Normalized from £75/year - Professional reference letter,C,https://xcountant.com/accountants-fees,2025-01-05,England
XCT009,Xcountant,independent,SRC016,ltd,50-99k,PACKAGE_STARTER,Starter Package,basic,simple,85,modelA,30min bookkeeping; Xero Ignite; statutory accounts,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT010,Xcountant,independent,SRC016,ltd,50-99k,PACKAGE_STARTER_PLUS,Starter Plus Package,basic,simple,105,modelA,45min bookkeeping; 1 employee payroll; secretarial support,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT011,Xcountant,independent,SRC016,ltd,100-149k,PACKAGE_STANDARD,Standard Package,full,standard,180,modelA,60min bookkeeping; VAT returns; up to 5 employees,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT012,Xcountant,independent,SRC016,ltd,1.0-1.49m,PACKAGE_PREMIUM,Premium Package,full,complex,290,modelA,90min bookkeeping; up to 25 employees; 2 tax returns,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT013,Xcountant,independent,SRC016,ltd,1.0-1.49m,PACKAGE_PREMIUM_PLUS,Premium Plus Package,full,complex,375,modelA,180min bookkeeping; up to 50 employees; 3 tax returns,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT014,Xcountant,independent,SRC016,sole_trader,100-149k,PACKAGE_BUSINESS,Business Package,basic,simple,55,modelA,30min bookkeeping; Xero Ignite; annual accounts; Self Assessment,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT015,Xcountant,independent,SRC016,sole_trader,100-149k,PACKAGE_LEGAL,Legal Package,full,standard,100,modelA,30min bookkeeping; VAT returns; accounts; Self Assessment; reference letter,A,https://xcountant.com/accountants-fees,2025-01-05,England
