observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
DSH301,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,1_to_5_employees,simple,30,modelA,Annual £350+VAT converted to monthly; 1-5 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH302,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,6_to_10_employees,simple,35,modelA,Annual £400+VAT converted to monthly; 6-10 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH303,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,11_to_15_employees,simple,40,modelA,Annual £450+VAT converted to monthly; 11-15 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH304,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,16_to_20_employees,simple,45,modelA,Annual £550+VAT converted to monthly; 16-20 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH305,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,21_to_30_employees,simple,55,modelA,Annual £665+VAT converted to monthly; 21-30 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH306,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,31_to_40_employees,standard,65,modelA,Annual £780+VAT converted to monthly; 31-40 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH307,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,41_to_50_employees,standard,75,modelA,Annual £920+VAT converted to monthly; 41-50 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH308,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,51_to_75_employees,standard,85,modelA,Annual £1010+VAT converted to monthly; 51-75 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH309,Doshi Accountants,independent,SRC063,ltd,0-49k,PAYROLL_BASE,Monthly Payroll,76_to_100_employees,standard,100,modelA,Annual £1200+VAT converted to monthly; 76-100 employees monthly payroll includes wage slips RTI filing P60 P45 forms,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH310,Doshi Accountants,independent,SRC063,sole_trader,0-49k,COMP_SATR,Self Assessment Return,individual,simple,15,modelA,£175+VAT one-time converted to monthly; annual income to £79k includes electronic HMRC submission tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH311,Doshi Accountants,independent,SRC063,sole_trader,50-99k,COMP_SATR,Self Assessment Return,individual,simple,17,modelA,£200+VAT one-time converted to monthly; annual income £80-124k includes electronic HMRC submission tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH312,Doshi Accountants,independent,SRC063,sole_trader,100-149k,COMP_SATR,Self Assessment Return,individual,simple,21,modelA,£250+VAT one-time converted to monthly; annual income £125k+ includes electronic HMRC submission tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH313,Doshi Accountants,independent,SRC063,sole_trader,0-49k,PROPERTY_ACCTS,Property Accounts,1_property,simple,13,modelA,Annual £150+VAT converted to monthly; 1 property rental accounts preparation,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH314,Doshi Accountants,independent,SRC063,sole_trader,0-49k,PROPERTY_ACCTS,Property Accounts,2_properties,simple,21,modelA,Annual £250+VAT converted to monthly; 2 properties rental accounts preparation,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH315,Doshi Accountants,independent,SRC063,sole_trader,0-49k,PROPERTY_ACCTS,Property Accounts,3_properties,simple,30,modelA,Annual £360+VAT converted to monthly; 3 properties rental accounts preparation,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH316,Doshi Accountants,independent,SRC063,ltd,0-49k,COMP_INCORPORATION,Company Formation,standard,simple,17,modelA,One-time £200+VAT converted to monthly; includes formation Companies House PAYE/VAT registration registered office,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DSH317,Doshi Accountants,independent,SRC063,ltd,0-49k,BOOK_BASIC,Bookkeeping,hourly,simple,13,modelC,£13+VAT per hour; off-site bookkeeping includes sales/purchase ledger bank reconciliation VAT returns,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
