observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
RJA001,RJ Accountancy,independent,SRC064,ltd,0-49k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,25,modelA,Annual £300+VAT converted to monthly; £0-10k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA002,RJ Accountancy,independent,SRC064,ltd,0-49k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,30,modelA,Annual £360+VAT converted to monthly; £10-20k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA003,RJ Accountancy,independent,SRC064,ltd,0-49k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,35,modelA,Annual £420+VAT converted to monthly; £20-30k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA004,RJ Accountancy,independent,SRC064,ltd,0-49k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,40,modelA,Annual £480+VAT converted to monthly; £30-40k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA005,RJ Accountancy,independent,SRC064,ltd,0-49k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,45,modelA,Annual £540+VAT converted to monthly; £40-55k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA006,RJ Accountancy,independent,SRC064,ltd,50-99k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,50,modelA,Annual £600+VAT converted to monthly; £55-70k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA007,RJ Accountancy,independent,SRC064,ltd,50-99k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,55,modelA,Annual £660+VAT converted to monthly; £70-100k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA008,RJ Accountancy,independent,SRC064,ltd,100-149k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,60,modelA,Annual £720+VAT converted to monthly; £100-130k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA009,RJ Accountancy,independent,SRC064,ltd,100-149k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,65,modelA,Annual £780+VAT converted to monthly; £130-160k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA010,RJ Accountancy,independent,SRC064,ltd,150-199k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,70,modelA,Annual £840+VAT converted to monthly; £160-200k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA011,RJ Accountancy,independent,SRC064,ltd,200-249k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,75,modelA,Annual £900+VAT converted to monthly; £200-250k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA012,RJ Accountancy,independent,SRC064,ltd,250-299k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,80,modelA,Annual £960+VAT converted to monthly; £250-300k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA013,RJ Accountancy,independent,SRC064,ltd,300-399k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,85,modelA,Annual £1020+VAT converted to monthly; £300-400k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA014,RJ Accountancy,independent,SRC064,ltd,400-499k,COMP_ACCOUNTS,Company Accounts & Corporation Tax,standard,simple,90,modelA,Annual £1080+VAT converted to monthly; £400-500k turnover includes accounts preparation Companies House filing corporation tax return,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA015,RJ Accountancy,independent,SRC064,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts,standard,simple,5,modelA,Annual £50+VAT converted to monthly; £0-10k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA016,RJ Accountancy,independent,SRC064,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts,standard,simple,10,modelA,Annual £100+VAT converted to monthly; £10-20k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA017,RJ Accountancy,independent,SRC064,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts,standard,simple,15,modelA,Annual £150+VAT converted to monthly; £20-30k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA018,RJ Accountancy,independent,SRC064,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts,standard,simple,17,modelA,Annual £200+VAT converted to monthly; £30-40k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA019,RJ Accountancy,independent,SRC064,sole_trader,0-49k,COMP_SATR,Sole Trader Accounts,standard,simple,21,modelA,Annual £250+VAT converted to monthly; £40-55k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA020,RJ Accountancy,independent,SRC064,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts,standard,simple,25,modelA,Annual £300+VAT converted to monthly; £55-70k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA021,RJ Accountancy,independent,SRC064,sole_trader,50-99k,COMP_SATR,Sole Trader Accounts,standard,simple,30,modelA,Annual £350+VAT converted to monthly; £70-100k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA022,RJ Accountancy,independent,SRC064,sole_trader,100-149k,COMP_SATR,Sole Trader Accounts,standard,simple,35,modelA,Annual £400+VAT converted to monthly; £100-130k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA023,RJ Accountancy,independent,SRC064,sole_trader,100-149k,COMP_SATR,Sole Trader Accounts,standard,simple,40,modelA,Annual £450+VAT converted to monthly; £130-160k turnover includes accounts preparation self-assessment,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA024,RJ Accountancy,independent,SRC064,sole_trader,0-49k,COMP_SATR,Basic Tax Return,individual,simple,15,modelA,Annual £179+VAT converted to monthly; PAYE income dividend income interest income or pensions,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA025,RJ Accountancy,independent,SRC064,partnership,0-49k,PARTNERSHIP_RETURN,Partnership Return,standard,simple,13,modelA,Annual £150+VAT converted to monthly; partnership return plus individual partner self-assessment fees,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA026,RJ Accountancy,independent,SRC064,sole_trader,0-49k,PROPERTY_ACCTS,Rental Property,per_property,simple,3,modelA,Annual £30+VAT converted to monthly; per property rental accounts,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
RJA027,RJ Accountancy,independent,SRC064,ltd,0-49k,PAYROLL_BASE,PAYE Service,per_employee,simple,10,modelA,Annual £120+VAT converted to monthly; per employee PAYE payroll service,A,https://rjaccountancy.co.uk/fees/,2025-01-05,England
