observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
OLA001,The Online Accountants,independent,SRC065,ltd,0-49k,COMP_ACCOUNTS,Small Company Accounts Filing,standard,simple,30,modelA,Annual £349+VAT converted to monthly; up to £30k turnover includes FRS105/FRS102 accounts iXBRL filing CT600 return bookkeeping review,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA002,The Online Accountants,independent,SRC065,ltd,50-99k,COMP_ACCOUNTS,Medium Company Accounts Filing,standard,simple,45,modelA,Annual £549+VAT converted to monthly; up to £100k turnover includes FRS105/FRS102 accounts iXBRL filing CT600 return bookkeeping review,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA003,The Online Accountants,independent,SRC065,ltd,100-149k,COMP_ACCOUNTS,Medium Company Accounts Filing,standard,simple,45,modelA,Annual £549+VAT converted to monthly; up to £100k turnover includes FRS105/FRS102 accounts iXBRL filing CT600 return bookkeeping review,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA004,The Online Accountants,independent,SRC065,ltd,200-249k,COMP_ACCOUNTS,Large Company Accounts Filing,standard,simple,65,modelA,Annual £749+VAT converted to monthly; up to £250k turnover includes FRS105/FRS102 accounts iXBRL filing CT600 return bookkeeping review,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA005,The Online Accountants,independent,SRC065,ltd,0-49k,COMP_DORMANT,Dormant Limited Company,dormant,simple,17,modelA,Annual £199+VAT converted to monthly; dormant company with no activity accounts filing,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA006,The Online Accountants,independent,SRC065,sole_trader,0-49k,COMP_SATR,Small Self-Employed,standard,simple,35,modelA,Annual £399+VAT converted to monthly; up to £30k turnover includes accounts preparation self-assessment tax return one rental property,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA007,The Online Accountants,independent,SRC065,sole_trader,50-99k,COMP_SATR,Medium Self-Employed,standard,simple,50,modelA,Annual £599+VAT converted to monthly; up to £100k turnover includes accounts preparation self-assessment tax return one rental property,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA008,The Online Accountants,independent,SRC065,sole_trader,100-149k,COMP_SATR,Medium Self-Employed,standard,simple,50,modelA,Annual £599+VAT converted to monthly; up to £100k turnover includes accounts preparation self-assessment tax return one rental property,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA009,The Online Accountants,independent,SRC065,sole_trader,200-249k,COMP_SATR,Large Self-Employed,standard,simple,67,modelA,Annual £799+VAT converted to monthly; up to £250k turnover includes accounts preparation self-assessment tax return one rental property,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA010,The Online Accountants,independent,SRC065,partnership,0-49k,PARTNERSHIP_RETURN,Partnership Accounts Filing,standard,simple,42,modelA,Annual £499+VAT converted to monthly; includes partnership accounts SA800 tax return partner profit share calculations,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
OLA011,The Online Accountants,independent,SRC065,partnership,0-49k,PARTNERSHIP_RETURN,Additional Partner Returns,per_partner,simple,17,modelA,Annual £199+VAT converted to monthly; per partner individual self-assessment returns,A,https://theonlineaccountants.uk/accountants-fees,2025-01-05,England
