observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
RCH001,Right Choice Bookkeeping,independent,SRC067,sole_trader,0-49k,BOOK_BASIC,Self-Employed Basic,up_to_20_invoices,simple,30,modelA,£30/month; up to 20 invoices includes bookkeeping self-assessment return consultation,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCH002,Right Choice Bookkeeping,independent,SRC067,sole_trader,0-49k,BOOK_BASIC,Self-Employed Standard,25_to_35_invoices,simple,40,modelA,£40/month; 25-35 invoices includes bookkeeping self-assessment return consultation,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCH003,Right Choice Bookkeeping,independent,SRC067,sole_trader,0-49k,BOOK_STANDARD,Self-Employed Premium,up_to_50_invoices,simple,50,modelA,£50/month; up to 50 invoices includes bookkeeping self-assessment return consultation,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCH004,Right Choice Bookkeeping,independent,SRC067,partnership,0-49k,BOOK_BASIC,Partnership Basic,up_to_20_invoices,simple,40,modelA,£40/month; up to 20 invoices includes bookkeeping self-assessment return partnership only,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCH005,Right Choice Bookkeeping,independent,SRC067,partnership,0-49k,BOOK_BASIC,Partnership Standard,25_to_35_invoices,simple,50,modelA,£50/month; 25-35 invoices includes bookkeeping self-assessment return partnership only,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCH006,Right Choice Bookkeeping,independent,SRC067,partnership,0-49k,BOOK_STANDARD,Partnership Premium,up_to_50_invoices,simple,60,modelA,£60/month; up to 50 invoices includes bookkeeping self-assessment return partnership only,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCH007,Right Choice Bookkeeping,independent,SRC067,ltd,0-49k,BOOK_BASIC,Limited Company Basic,up_to_30_invoices,simple,80,modelA,£80/month; up to 30 invoices includes bookkeeping confirmation statement CT self-assessment for one director monthly payroll,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCH008,Right Choice Bookkeeping,independent,SRC067,ltd,0-49k,BOOK_STANDARD,Limited Company Standard,30_to_50_invoices,simple,100,modelA,£100/month; 30-50 invoices includes bookkeeping confirmation statement CT self-assessment for one director monthly payroll,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
ABN001,Aben Bookkeeping,independent,SRC068,sole_trader,0-49k,BOOK_BASIC,Bookkeeping & VAT Returns,hourly,simple,25,modelC,£25+VAT per hour; bookkeeping and VAT returns hourly rate,A,http://www.abenbookkeeping.co.uk/fees,2025-01-05,England
ABN002,Aben Bookkeeping,independent,SRC068,ltd,0-49k,PAYROLL_BASE,Payroll Processing,monthly_minimum,simple,13,modelA,£13+VAT monthly minimum + £1.55 per payslip; payroll processing weekly fortnightly 4-weekly or monthly,A,http://www.abenbookkeeping.co.uk/fees,2025-01-05,England
