observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
XCT001,Xcountant,independent,SRC069,ltd,0-49k,COMP_ACCOUNTS,Starter Package,micro_entity,simple,100,modelA,£100+VAT/month; includes Xero Ignite 30min bookkeeping confirmation statement dividends statutory accounts company tax director SA,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT002,Xcountant,independent,SRC069,ltd,0-49k,COMP_ACCOUNTS,Starter Plus Package,micro_entity,simple,125,modelA,£125+VAT/month; includes Xero Grow 45min bookkeeping 1 employee payroll company secretarial plus all Starter services,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT003,Xcountant,independent,SRC069,ltd,0-49k,COMP_ACCOUNTS,Standard Package,micro_entity,simple,215,modelA,£215+VAT/month; includes Xero Comprehensive 60min bookkeeping VAT returns up to 5 employees payroll accountant reference plus all Starter services,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT004,Xcountant,independent,SRC069,ltd,1.0-1.49m,COMP_ACCOUNTS,Premium Package,small_company_frs102,standard,350,modelA,£350+VAT/month; includes Xero Ultimate 90min bookkeeping up to 25 employees 2 SA returns accountant references FRS102 1A,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT005,Xcountant,independent,SRC069,ltd,1.0-1.49m,COMP_ACCOUNTS,Premium Plus Package,small_company_frs102,standard,450,modelA,£450+VAT/month; includes 180min bookkeeping up to 50 employees 3 SA returns accountant references FRS102 plus all Premium services,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT006,Xcountant,independent,SRC069,sole_trader,0-49k,COMP_SATR,Business Package,self_employed,simple,65,modelA,£65+VAT/month; includes SA registration Xero Ignite 30min bookkeeping annual accounts self-assessment tax return,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT007,Xcountant,independent,SRC069,sole_trader,0-49k,COMP_SATR,Legal Package,legal_professionals,simple,120,modelA,£120+VAT/month; includes Xero Ignite 30min bookkeeping VAT returns annual accounts SA return accountant reference for barristers lawyers,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT008,Xcountant,independent,SRC069,ltd,0-49k,BOOK_BASIC,Remote Bookkeeping,hourly,simple,30,modelC,£30+VAT per hour; remote bookkeeping includes day-to-day bookkeeping VAT returns monthly payroll,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT009,Xcountant,independent,SRC069,ltd,0-49k,COMP_ACCOUNTS,Micro-Entity Year-End Accounts,one_off,simple,30,modelC,From £350+VAT one-time converted to monthly; £0-1m turnover FRS105 statutory accounts company tax return online submission,C,https://xcountant.com/accountants-fees,2025-01-05,England
XCT010,Xcountant,independent,SRC069,ltd,1.0-1.49m,COMP_ACCOUNTS,Small Company Year-End Accounts,one_off,standard,210,modelC,From £2500+VAT one-time converted to monthly; £1-15m turnover FRS102 statutory accounts company tax return online submission,C,https://xcountant.com/accountants-fees,2025-01-05,England
XCT011,Xcountant,independent,SRC069,sole_trader,0-49k,COMP_SATR,Personal Tax Service Basic,basic,simple,13,modelC,£150+VAT one-time converted to monthly; basic personal tax returns declaring income claiming allowances reliefs,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT012,Xcountant,independent,SRC069,ltd,0-49k,COMP_DORMANT,Dormant Company Accounts,dormant,simple,10,modelC,£100+VAT one-time converted to monthly; dormant company accounts nil corporation tax return online filing,A,https://xcountant.com/accountants-fees,2025-01-05,England
XCT013,Xcountant,independent,SRC069,ltd,0-49k,ADVISORY_HOURLY,Accountant Hourly Rate,standard,simple,100,modelC,£100+VAT per hour; any service not listed charged at standard hourly rate,A,https://xcountant.com/accountants-fees,2025-01-05,England
