observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
PNY001,Penney's Accountancy,independent,SRC071,ltd,0-49k,COMP_DORMANT,Dormant Company Accounts,dormant,simple,21,modelA,Annual £250+VAT converted to monthly; dormant company accounts filing with HMRC and Companies House,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY002,Penney's Accountancy,independent,SRC071,ltd,0-49k,COMP_ACCOUNTS,Year End Accounts,standard,simple,96,modelA,From annual £1153.95+VAT converted to monthly; turnover up to £250k includes tax computations filings,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY003,Penney's Accountancy,independent,SRC071,ltd,200-249k,COMP_ACCOUNTS,Year End Accounts,standard,simple,96,modelA,From annual £1153.95+VAT converted to monthly; turnover up to £250k includes tax computations filings,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY004,Penney's Accountancy,independent,SRC071,ltd,250-299k,COMP_ACCOUNTS,Year End Accounts,standard,simple,105,modelA,From annual £1260+VAT converted to monthly; turnover £250-500k includes tax computations filings,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY005,Penney's Accountancy,independent,SRC071,ltd,400-499k,COMP_ACCOUNTS,Year End Accounts,standard,simple,105,modelA,From annual £1260+VAT converted to monthly; turnover £250-500k includes tax computations filings,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY006,Penney's Accountancy,independent,SRC071,ltd,500-599k,COMP_ACCOUNTS,Year End Accounts,standard,standard,123,modelA,From annual £1470+VAT converted to monthly; turnover £500-999k full compliance package,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY007,Penney's Accountancy,independent,SRC071,ltd,750-999k,COMP_ACCOUNTS,Year End Accounts,standard,standard,123,modelA,From annual £1470+VAT converted to monthly; turnover £500-999k full compliance package,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY008,Penney's Accountancy,independent,SRC071,ltd,1.0-1.49m,COMP_ACCOUNTS,Year End Accounts,enterprise,complex,350,modelA,From annual £4200+VAT converted to monthly; turnover £1m+ enterprise-level accounts,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY009,Penney's Accountancy,independent,SRC071,llp,0-49k,COMP_ACCOUNTS,LLP Accounts,partnership,simple,100,modelA,From annual £1200+VAT converted to monthly; includes partnership tax return,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY010,Penney's Accountancy,independent,SRC071,sole_trader,0-49k,COMP_SATR,Basic Sole Trader Return,basic,simple,29,modelA,From annual £341.25+VAT converted to monthly; excludes bookkeeping services,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY011,Penney's Accountancy,independent,SRC071,ltd,0-49k,COMP_SATR,Company Director Return,director,simple,26,modelA,From annual £311.85+VAT converted to monthly; director-specific self-assessment filing,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
PNY012,Penney's Accountancy,independent,SRC071,sole_trader,0-49k,COMP_SATR,Sole Trader with Property/Investment,property_income,simple,38,modelA,From annual £450.45+VAT converted to monthly; includes property income,A,https://www.penneysaccountancy.co.uk/prices/,2025-01-05,England
