observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
DOS001,Doshi Accountants,independent,SRC018,sole_trader,50-99k,COMP_SATR,Accounts & Tax Returns,n/a,simple,60,modelA,Normalized from £720/year - Account preparation tax return submission multi-income types HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS002,Doshi Accountants,independent,SRC018,sole_trader,50-99k,COMP_SATR,Accounts & Tax Returns,n/a,simple,75,modelA,Normalized from £900/year - Account preparation tax return submission multi-income types HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS003,Doshi Accountants,independent,SRC018,sole_trader,100-149k,COMP_SATR,Accounts & Tax Returns,n/a,simple,75,modelA,Normalized from £900/year - Account preparation tax return submission multi-income types HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS004,Doshi Accountants,independent,SRC018,sole_trader,150-199k,COMP_SATR,Accounts & Tax Returns,n/a,standard,85,modelA,Normalized from £1020/year - Account preparation tax return submission multi-income types HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS005,Doshi Accountants,independent,SRC018,sole_trader,250-299k,COMP_SATR,Accounts & Tax Returns,n/a,standard,110,modelA,Normalized from £1320/year - Account preparation tax return submission multi-income types HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS006,Doshi Accountants,independent,SRC018,ltd,50-99k,COMP_ACCOUNTS,Accounts & Tax Returns,n/a,simple,75,modelA,Normalized from £900/year - Account preparation Corp tax returns Companies House filings HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS007,Doshi Accountants,independent,SRC018,ltd,50-99k,COMP_ACCOUNTS,Accounts & Tax Returns,n/a,simple,80,modelA,Normalized from £960/year - Account preparation Corp tax returns Companies House filings HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS008,Doshi Accountants,independent,SRC018,ltd,100-149k,COMP_ACCOUNTS,Accounts & Tax Returns,n/a,simple,95,modelA,Normalized from £1140/year - Account preparation Corp tax returns Companies House filings HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS009,Doshi Accountants,independent,SRC018,ltd,150-199k,COMP_ACCOUNTS,Accounts & Tax Returns,n/a,standard,105,modelA,Normalized from £1260/year - Account preparation Corp tax returns Companies House filings HMRC agency work tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS010,Doshi Accountants,independent,SRC018,ltd,100-149k,MGMT_ACCOUNTS,Management Accounts,n/a,simple,35,modelA,Normalized from £420/year - Quarterly reporting; monthly option adds £67/month,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS011,Doshi Accountants,independent,SRC018,ltd,250-299k,MGMT_ACCOUNTS,Management Accounts,n/a,simple,50,modelA,Normalized from £600/year - Quarterly reporting; monthly option adds £67/month,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS012,Doshi Accountants,independent,SRC018,ltd,50-99k,VAT_QTR,VAT Returns,n/a,simple,45,modelA,Normalized from £540/year - Monthly/quarterly/annual VAT completion optimal scheme selection full workings HMRC agency work includes MTD,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS013,Doshi Accountants,independent,SRC018,ltd,100-149k,VAT_QTR,VAT Returns,n/a,simple,65,modelA,Normalized from £780/year - Monthly/quarterly/annual VAT completion optimal scheme selection full workings HMRC agency work includes MTD,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS014,Doshi Accountants,independent,SRC018,ltd,150-199k,VAT_QTR,VAT Returns,n/a,standard,70,modelA,Normalized from £840/year - Monthly/quarterly/annual VAT completion optimal scheme selection full workings HMRC agency work includes MTD,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS015,Doshi Accountants,independent,SRC018,ltd,100-149k,PAYROLL_RUN,Comprehensive Payroll,n/a,simple,30,modelA,1-5 employees - Wage slips RTI P35 P11d P14 P60 P45 P46 P38,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS016,Doshi Accountants,independent,SRC018,ltd,100-149k,PAYROLL_RUN,Comprehensive Payroll,n/a,simple,35,modelA,6-10 employees - Wage slips RTI P35 P11d P14 P60 P45 P46 P38,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS017,Doshi Accountants,independent,SRC018,ltd,100-149k,PAYROLL_RUN,Comprehensive Payroll,n/a,simple,40,modelA,11-15 employees - Wage slips RTI P35 P11d P14 P60 P45 P46 P38,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS018,Doshi Accountants,independent,SRC018,ltd,100-149k,PAYROLL_PENSION,Workplace Pensions,n/a,simple,5,modelA,1-5 employees - Employer contribution management and compliance,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS019,Doshi Accountants,independent,SRC018,sole_trader,50-99k,COMP_SATR,Self Assessment & Tax Returns,n/a,simple,15,modelA,Normalized from £180/year - Electronic submission multiple income types tax planning,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
DOS020,Doshi Accountants,independent,SRC018,partnership,50-99k,COMP_PARTNERSHIP,Partnership Returns + 2 Self Assessments,n/a,simple,30,modelA,Normalized from £360/year - Electronic submission multiple income types tax planning includes 2 partner returns,A,https://doshiaccountants.co.uk/fees,2025-01-05,England
