observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
MAH001,My Accountancy Hub,independent,SRC076,ltd,150-199k,COMP_ACCOUNTS,My Essential Hub,essential,simple,179,modelA,£79+VAT base plus £120 accounts fee for £125-250k turnover; includes accounts CT company setup HMRC reg payroll confirmation quarterly dividend planning software,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH002,My Accountancy Hub,independent,SRC076,ltd,200-249k,COMP_ACCOUNTS,My Essential Hub,essential,simple,179,modelA,£79+VAT base plus £120 accounts fee for £125-250k turnover; includes accounts CT company setup HMRC reg payroll confirmation quarterly dividend planning software,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH003,My Accountancy Hub,independent,SRC076,ltd,250-299k,COMP_ACCOUNTS,My Essential Hub,essential,simple,295,modelA,£79+VAT base plus £200 accounts fee for £250-500k turnover; includes accounts CT company setup HMRC reg payroll confirmation quarterly dividend planning software,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH004,My Accountancy Hub,independent,SRC076,ltd,400-499k,COMP_ACCOUNTS,My Essential Hub,essential,simple,295,modelA,£79+VAT base plus £200 accounts fee for £250-500k turnover; includes accounts CT company setup HMRC reg payroll confirmation quarterly dividend planning software,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH005,My Accountancy Hub,independent,SRC076,ltd,500-599k,COMP_ACCOUNTS,My Essential Hub,essential,simple,367,modelA,£79+VAT base plus £288 accounts fee for £500k-1m turnover; includes accounts CT company setup HMRC reg payroll confirmation quarterly dividend planning software,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH006,My Accountancy Hub,independent,SRC076,ltd,750-999k,COMP_ACCOUNTS,My Essential Hub,essential,simple,367,modelA,£79+VAT base plus £288 accounts fee for £500k-1m turnover; includes accounts CT company setup HMRC reg payroll confirmation quarterly dividend planning software,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH007,My Accountancy Hub,independent,SRC076,ltd,1.0-1.49m,COMP_ACCOUNTS,My Essential Hub,essential,simple,399,modelA,£79+VAT base plus £320 accounts fee for £1m-2m turnover; includes accounts CT company setup HMRC reg payroll confirmation quarterly dividend planning software,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH008,My Accountancy Hub,independent,SRC076,ltd,1.5-2.0m,COMP_ACCOUNTS,My Essential Hub,essential,simple,399,modelA,£79+VAT base plus £320 accounts fee for £1m-2m turnover; includes accounts CT company setup HMRC reg payroll confirmation quarterly dividend planning software,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH009,My Accountancy Hub,independent,SRC076,ltd,150-199k,COMP_ACCOUNTS,My Standard Hub,standard,simple,268,modelA,£149+VAT base plus £120 accounts fee for £125-250k turnover; adds VAT returns bookkeeping Xero standard dividend vouchers annual review tax forms,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH010,My Accountancy Hub,independent,SRC076,ltd,200-249k,COMP_ACCOUNTS,My Standard Hub,standard,simple,268,modelA,£149+VAT base plus £120 accounts fee for £125-250k turnover; adds VAT returns bookkeeping Xero standard dividend vouchers annual review tax forms,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH011,My Accountancy Hub,independent,SRC076,ltd,250-299k,COMP_ACCOUNTS,My Standard Hub,standard,simple,349,modelA,£149+VAT base plus £200 accounts fee for £250-500k turnover; adds VAT returns bookkeeping Xero standard dividend vouchers annual review tax forms,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH012,My Accountancy Hub,independent,SRC076,ltd,400-499k,COMP_ACCOUNTS,My Standard Hub,standard,simple,349,modelA,£149+VAT base plus £200 accounts fee for £250-500k turnover; adds VAT returns bookkeeping Xero standard dividend vouchers annual review tax forms,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH013,My Accountancy Hub,independent,SRC076,ltd,500-599k,COMP_ACCOUNTS,My Standard Hub,standard,simple,437,modelA,£149+VAT base plus £288 accounts fee for £500k-1m turnover; adds VAT returns bookkeeping Xero standard dividend vouchers annual review tax forms,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH014,My Accountancy Hub,independent,SRC076,ltd,750-999k,COMP_ACCOUNTS,My Standard Hub,standard,simple,437,modelA,£149+VAT base plus £288 accounts fee for £500k-1m turnover; adds VAT returns bookkeeping Xero standard dividend vouchers annual review tax forms,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH015,My Accountancy Hub,independent,SRC076,ltd,1.0-1.49m,COMP_ACCOUNTS,My Standard Hub,standard,simple,469,modelA,£149+VAT base plus £320 accounts fee for £1m-2m turnover; adds VAT returns bookkeeping Xero standard dividend vouchers annual review tax forms,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH016,My Accountancy Hub,independent,SRC076,ltd,1.5-2.0m,COMP_ACCOUNTS,My Standard Hub,standard,simple,469,modelA,£149+VAT base plus £320 accounts fee for £1m-2m turnover; adds VAT returns bookkeeping Xero standard dividend vouchers annual review tax forms,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH017,My Accountancy Hub,independent,SRC076,ltd,150-199k,COMP_ACCOUNTS,My Complete Hub,complete,standard,338,modelA,£219+VAT base plus £120 accounts fee for £125-250k turnover; all services plus quarterly mgmt accounts employment contracts fee protection registered office HMRC payment,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH018,My Accountancy Hub,independent,SRC076,ltd,200-249k,COMP_ACCOUNTS,My Complete Hub,complete,standard,338,modelA,£219+VAT base plus £120 accounts fee for £125-250k turnover; all services plus quarterly mgmt accounts employment contracts fee protection registered office HMRC payment,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH019,My Accountancy Hub,independent,SRC076,ltd,250-299k,COMP_ACCOUNTS,My Complete Hub,complete,standard,419,modelA,£219+VAT base plus £200 accounts fee for £250-500k turnover; all services plus quarterly mgmt accounts employment contracts fee protection registered office HMRC payment,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH020,My Accountancy Hub,independent,SRC076,ltd,400-499k,COMP_ACCOUNTS,My Complete Hub,complete,standard,419,modelA,£219+VAT base plus £200 accounts fee for £250-500k turnover; all services plus quarterly mgmt accounts employment contracts fee protection registered office HMRC payment,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH021,My Accountancy Hub,independent,SRC076,ltd,500-599k,COMP_ACCOUNTS,My Complete Hub,complete,standard,507,modelA,£219+VAT base plus £288 accounts fee for £500k-1m turnover; all services plus quarterly mgmt accounts employment contracts fee protection registered office HMRC payment,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH022,My Accountancy Hub,independent,SRC076,ltd,750-999k,COMP_ACCOUNTS,My Complete Hub,complete,standard,507,modelA,£219+VAT base plus £288 accounts fee for £500k-1m turnover; all services plus quarterly mgmt accounts employment contracts fee protection registered office HMRC payment,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH023,My Accountancy Hub,independent,SRC076,ltd,1.0-1.49m,COMP_ACCOUNTS,My Complete Hub,complete,standard,539,modelA,£219+VAT base plus £320 accounts fee for £1m-2m turnover; all services plus quarterly mgmt accounts employment contracts fee protection registered office HMRC payment,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
MAH024,My Accountancy Hub,independent,SRC076,ltd,1.5-2.0m,COMP_ACCOUNTS,My Complete Hub,complete,standard,539,modelA,£219+VAT base plus £320 accounts fee for £1m-2m turnover; all services plus quarterly mgmt accounts employment contracts fee protection registered office HMRC payment,A,https://myaccountancyhub.co.uk/how-much-are-accountancy-fees-for-a-new-limited-company/,2025-01-05,England
