observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
LKR010,Lukro Ltd,independent,SRC035,ltd,0-49k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,50,modelB,£50/month for 0-25 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR011,Lukro Ltd,independent,SRC035,ltd,0-49k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,75,modelB,£75/month for 26-50 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR012,Lukro Ltd,independent,SRC035,ltd,50-99k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,100,modelB,£100/month for 51-75 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR013,Lukro Ltd,independent,SRC035,ltd,50-99k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,125,modelB,£125/month for 76-100 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR014,Lukro Ltd,independent,SRC035,ltd,100-149k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,150,modelB,£150/month for 101-125 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR015,Lukro Ltd,independent,SRC035,ltd,100-149k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,175,modelB,£175/month for 126-150 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR016,Lukro Ltd,independent,SRC035,ltd,150-199k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,200,modelB,£200/month for 151-175 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR017,Lukro Ltd,independent,SRC035,ltd,150-199k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,225,modelB,£225/month for 176-200 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR018,Lukro Ltd,independent,SRC035,ltd,200-249k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,250,modelB,£250/month for 201-225 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR019,Lukro Ltd,independent,SRC035,ltd,200-249k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,275,modelB,£275/month for 226-250 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR020,Lukro Ltd,independent,SRC035,ltd,250-299k,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,250,modelB,£1.00 per transaction × 250 average for 251-500 range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR021,Lukro Ltd,independent,SRC035,ltd,500-599k,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,510,modelB,£0.85 per transaction × 600 average for 501-750 range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR022,Lukro Ltd,independent,SRC035,ltd,750-999k,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,675,modelB,£0.75 per transaction × 900 average for 751-1000 range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR023,Lukro Ltd,independent,SRC035,ltd,1.0-1.49m,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,813,modelB,£0.65 per transaction × 1250 average for 1001-1500 range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR024,Lukro Ltd,independent,SRC035,ltd,1.5-2.0m,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,900,modelB,£0.50 per transaction × 1800 average for 1501+ range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
