observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
CLB020,CloudBook,independent,SRC043,sole_trader,0-49k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,84,modelB,£84/month up to 50 transactions; additional £36 per 50 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB021,CloudBook,independent,SRC043,sole_trader,50-99k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,120,modelB,£84 base + £36 for 51-100 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB022,CloudBook,independent,SRC043,sole_trader,100-149k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,156,modelB,£84 base + £72 for 101-150 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB023,CloudBook,independent,SRC043,partnership,0-49k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,96,modelB,£96/month up to 50 transactions; additional £36 per 50 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB024,CloudBook,independent,SRC043,partnership,50-99k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,132,modelB,£96 base + £36 for 51-100 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB025,CloudBook,independent,SRC043,partnership,100-149k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,168,modelB,£96 base + £72 for 101-150 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB026,CloudBook,independent,SRC043,ltd,0-49k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,108,modelB,£108/month up to 50 transactions; additional £36 per 50 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB027,CloudBook,independent,SRC043,ltd,50-99k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,144,modelB,£108 base + £36 for 51-100 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB028,CloudBook,independent,SRC043,ltd,100-149k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,180,modelB,£108 base + £72 for 101-150 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB029,CloudBook,independent,SRC043,ltd,150-199k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,216,modelB,£108 base + £108 for 151-200 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB030,CloudBook,independent,SRC043,ltd,200-249k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,simple,252,modelB,£108 base + £144 for 201-250 transactions; includes monthly management accounts VAT returns quarterly accounts MTD,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
