observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
TAC001,The Accountancy,independent,SRC020,llp,0-49k,COMP_ACCOUNTS,Core Accountancy Service,n/a,simple,25,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC002,The Accountancy,independent,SRC020,llp,50-99k,COMP_ACCOUNTS,Core Accountancy Service,n/a,simple,35,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC003,The Accountancy,independent,SRC020,llp,100-149k,COMP_ACCOUNTS,Core Accountancy Service,n/a,simple,45,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC004,The Accountancy,independent,SRC020,llp,150-199k,COMP_ACCOUNTS,Core Accountancy Service,n/a,standard,55,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC005,The Accountancy,independent,SRC020,llp,200-249k,COMP_ACCOUNTS,Core Accountancy Service,n/a,standard,65,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC006,The Accountancy,independent,SRC020,llp,250-299k,COMP_ACCOUNTS,Core Accountancy Service,n/a,standard,75,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC007,The Accountancy,independent,SRC020,llp,300-399k,COMP_ACCOUNTS,Core Accountancy Service,n/a,standard,80,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC008,The Accountancy,independent,SRC020,llp,400-499k,COMP_ACCOUNTS,Core Accountancy Service,n/a,complex,90,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC009,The Accountancy,independent,SRC020,llp,500-599k,COMP_ACCOUNTS,Core Accountancy Service,n/a,complex,105,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing plus £15 per £100k band above 500k,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
TAC010,The Accountancy,independent,SRC020,llp,600-749k,COMP_ACCOUNTS,Core Accountancy Service,n/a,complex,120,modelA,Base accountancy service includes accounts preparation tax returns Companies House filing plus £15 per £100k band above 500k,A,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-01-05,England
