observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
LKR025,Lukro Ltd,independent,SRC035,sole_trader,0-49k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,50,modelB,£50/month for 0-25 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR026,Lukro Ltd,independent,SRC035,sole_trader,0-49k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,75,modelB,£75/month for 26-50 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR027,Lukro Ltd,independent,SRC035,sole_trader,50-99k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,100,modelB,£100/month for 51-75 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR028,Lukro Ltd,independent,SRC035,sole_trader,50-99k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,125,modelB,£125/month for 76-100 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR029,Lukro Ltd,independent,SRC035,sole_trader,100-149k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,150,modelB,£150/month for 101-125 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR030,Lukro Ltd,independent,SRC035,sole_trader,100-149k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,175,modelB,£175/month for 126-150 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR031,Lukro Ltd,independent,SRC035,partnership,0-49k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,50,modelB,£50/month for 0-25 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR032,Lukro Ltd,independent,SRC035,partnership,0-49k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,75,modelB,£75/month for 26-50 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR033,Lukro Ltd,independent,SRC035,partnership,50-99k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,100,modelB,£100/month for 51-75 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR034,Lukro Ltd,independent,SRC035,partnership,50-99k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,125,modelB,£125/month for 76-100 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR035,Lukro Ltd,independent,SRC035,partnership,100-149k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,150,modelB,£150/month for 101-125 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR036,Lukro Ltd,independent,SRC035,partnership,100-149k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,175,modelB,£175/month for 126-150 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
