observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
LKR037,Lukro Ltd,independent,SRC035,sole_trader,150-199k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,200,modelB,£200/month for 151-175 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR038,Lukro Ltd,independent,SRC035,sole_trader,150-199k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,225,modelB,£225/month for 176-200 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR039,Lukro Ltd,independent,SRC035,sole_trader,200-249k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,250,modelB,£250/month for 201-225 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR040,Lukro Ltd,independent,SRC035,sole_trader,200-249k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,275,modelB,£275/month for 226-250 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR041,Lukro Ltd,independent,SRC035,partnership,150-199k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,200,modelB,£200/month for 151-175 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR042,Lukro Ltd,independent,SRC035,partnership,150-199k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,225,modelB,£225/month for 176-200 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR043,Lukro Ltd,independent,SRC035,partnership,200-249k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,250,modelB,£250/month for 201-225 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR044,Lukro Ltd,independent,SRC035,partnership,200-249k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,275,modelB,£275/month for 226-250 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR045,Lukro Ltd,independent,SRC035,sole_trader,250-299k,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,250,modelB,£1.00 per transaction × 250 average for 251-500 range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR046,Lukro Ltd,independent,SRC035,sole_trader,500-599k,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,510,modelB,£0.85 per transaction × 600 average for 501-750 range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR047,Lukro Ltd,independent,SRC035,partnership,250-299k,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,250,modelB,£1.00 per transaction × 250 average for 251-500 range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR048,Lukro Ltd,independent,SRC035,partnership,500-599k,BOOK_MONTHLY,Package II: High-Volume Per-Transaction,standard,standard,510,modelB,£0.85 per transaction × 600 average for 501-750 range; retail/e-commerce high-volume pricing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
