observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
SPX001,Simplex Accounting,independent,SRC077,ltd,0-49k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,25,modelB,£1 per transaction in blocks of 25; 1-25 transactions = £25; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX002,Simplex Accounting,independent,SRC077,ltd,0-49k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,50,modelB,£1 per transaction in blocks of 25; 26-50 transactions = £50; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX003,Simplex Accounting,independent,SRC077,ltd,50-99k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,75,modelB,£1 per transaction in blocks of 25; 51-75 transactions = £75; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX004,Simplex Accounting,independent,SRC077,ltd,100-149k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,100,modelB,£1 per transaction in blocks of 25; 76-100 transactions = £100; tiered structure; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX005,Simplex Accounting,independent,SRC077,ltd,100-149k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,125,modelB,£1 per transaction in blocks of 25; 101-125 transactions = £125; tiered structure; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX006,Simplex Accounting,independent,SRC077,ltd,150-199k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,standard,150,modelB,£1 per transaction in blocks of 25; 126-150 transactions = £150; tiered structure; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX007,Simplex Accounting,independent,SRC077,sole_trader,0-49k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,25,modelB,£1 per transaction in blocks of 25; 1-25 transactions = £25; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX008,Simplex Accounting,independent,SRC077,sole_trader,0-49k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,50,modelB,£1 per transaction in blocks of 25; 26-50 transactions = £50; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX009,Simplex Accounting,independent,SRC077,sole_trader,50-99k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,75,modelB,£1 per transaction in blocks of 25; 51-75 transactions = £75; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX010,Simplex Accounting,independent,SRC077,sole_trader,100-149k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,100,modelB,£1 per transaction in blocks of 25; 76-100 transactions = £100; tiered structure; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX011,Simplex Accounting,independent,SRC077,partnership,0-49k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,25,modelB,£1 per transaction in blocks of 25; 1-25 transactions = £25; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX012,Simplex Accounting,independent,SRC077,partnership,0-49k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,50,modelB,£1 per transaction in blocks of 25; 26-50 transactions = £50; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX013,Simplex Accounting,independent,SRC077,partnership,50-99k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,75,modelB,£1 per transaction in blocks of 25; 51-75 transactions = £75; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX014,Simplex Accounting,independent,SRC077,partnership,100-149k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,simple,100,modelB,£1 per transaction in blocks of 25; 76-100 transactions = £100; tiered structure; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
