observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
COM035,Coman & Co,independent,SRC045,sole_trader,0-49k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,10,modelB,£0.50 per transaction; up to 50 transactions quarterly = £25/quarter = £8.33/month avg (rounded to £10); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM036,Coman & Co,independent,SRC045,sole_trader,0-49k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,15,modelB,£0.50 per transaction; up to 100 transactions quarterly = £50/quarter = £16.67/month avg (rounded to £15); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM037,Coman & Co,independent,SRC045,sole_trader,50-99k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,25,modelB,£0.50 per transaction; up to 150 transactions quarterly = £75/quarter = £25/month avg; tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM038,Coman & Co,independent,SRC045,sole_trader,100-149k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,35,modelB,£0.50 per transaction; up to 200 transactions quarterly = £100/quarter = £33.33/month avg (rounded to £35); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM039,Coman & Co,independent,SRC045,ltd,0-49k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,10,modelB,£0.50 per transaction; up to 50 transactions quarterly = £25/quarter = £8.33/month avg (rounded to £10); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM040,Coman & Co,independent,SRC045,ltd,0-49k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,15,modelB,£0.50 per transaction; up to 100 transactions quarterly = £50/quarter = £16.67/month avg (rounded to £15); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM041,Coman & Co,independent,SRC045,ltd,50-99k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,25,modelB,£0.50 per transaction; up to 150 transactions quarterly = £75/quarter = £25/month avg; tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM042,Coman & Co,independent,SRC045,ltd,100-149k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,35,modelB,£0.50 per transaction; up to 200 transactions quarterly = £100/quarter = £33.33/month avg (rounded to £35); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM043,Coman & Co,independent,SRC045,partnership,0-49k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,10,modelB,£0.50 per transaction; up to 50 transactions quarterly = £25/quarter = £8.33/month avg (rounded to £10); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM044,Coman & Co,independent,SRC045,partnership,0-49k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,15,modelB,£0.50 per transaction; up to 100 transactions quarterly = £50/quarter = £16.67/month avg (rounded to £15); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM045,Coman & Co,independent,SRC045,partnership,50-99k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,25,modelB,£0.50 per transaction; up to 150 transactions quarterly = £75/quarter = £25/month avg; tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM046,Coman & Co,independent,SRC045,partnership,100-149k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,simple,35,modelB,£0.50 per transaction; up to 200 transactions quarterly = £100/quarter = £33.33/month avg (rounded to £35); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
