observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
MAD020,My Accounts Digital,independent,SRC053,ltd,150-199k,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_200_tx_annual,simple,43,modelB,Annual package £520/year = £43/month avg; up to 200 transactions annually; includes bookkeeping year-end statutory accounts one SA return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD021,My Accounts Digital,independent,SRC053,ltd,300-399k,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_400_tx_annual,standard,48,modelB,Annual package £580/year = £48/month avg; up to 400 transactions annually; includes bookkeeping year-end statutory accounts one SA return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD022,My Accounts Digital,independent,SRC053,ltd,500-599k,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_600_tx_annual,standard,57,modelB,Annual package £680/year = £57/month avg; up to 600 transactions annually; includes bookkeeping year-end statutory accounts one SA return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD023,My Accounts Digital,independent,SRC053,ltd,750-999k,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_800_tx_annual,standard,60,modelB,Annual package £720/year = £60/month avg; up to 800 transactions annually; includes bookkeeping year-end statutory accounts one SA return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD024,My Accounts Digital,independent,SRC053,ltd,1.0-1.49m,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_1000_tx_annual,standard,65,modelB,Annual package £780/year = £65/month avg; up to 1000 transactions annually; includes bookkeeping year-end statutory accounts one SA return Companies House filings,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD025,My Accounts Digital,independent,SRC053,sole_trader,150-199k,COMP_SATR,Annual Package - Trial Balance,up_to_200_tx_annual,simple,43,modelB,Annual package £520/year = £43/month avg; up to 200 transactions annually; includes bookkeeping year-end accounts self-assessment tax return,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD026,My Accounts Digital,independent,SRC053,sole_trader,300-399k,COMP_SATR,Annual Package - Trial Balance,up_to_400_tx_annual,standard,48,modelB,Annual package £580/year = £48/month avg; up to 400 transactions annually; includes bookkeeping year-end accounts self-assessment tax return,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD027,My Accounts Digital,independent,SRC053,sole_trader,500-599k,COMP_SATR,Annual Package - Trial Balance,up_to_600_tx_annual,standard,57,modelB,Annual package £680/year = £57/month avg; up to 600 transactions annually; includes bookkeeping year-end accounts self-assessment tax return,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD028,My Accounts Digital,independent,SRC053,sole_trader,750-999k,COMP_SATR,Annual Package - Trial Balance,up_to_800_tx_annual,standard,60,modelB,Annual package £720/year = £60/month avg; up to 800 transactions annually; includes bookkeeping year-end accounts self-assessment tax return,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD029,My Accounts Digital,independent,SRC053,sole_trader,1.0-1.49m,COMP_SATR,Annual Package - Trial Balance,up_to_1000_tx_annual,standard,65,modelB,Annual package £780/year = £65/month avg; up to 1000 transactions annually; includes bookkeeping year-end accounts self-assessment tax return,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD030,My Accounts Digital,independent,SRC053,partnership,150-199k,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_200_tx_annual,simple,43,modelB,Annual package £520/year = £43/month avg; up to 200 transactions annually; includes bookkeeping year-end statutory accounts partnership tax returns,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD031,My Accounts Digital,independent,SRC053,partnership,300-399k,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_400_tx_annual,standard,48,modelB,Annual package £580/year = £48/month avg; up to 400 transactions annually; includes bookkeeping year-end statutory accounts partnership tax returns,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD032,My Accounts Digital,independent,SRC053,partnership,500-599k,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_600_tx_annual,standard,57,modelB,Annual package £680/year = £57/month avg; up to 600 transactions annually; includes bookkeeping year-end statutory accounts partnership tax returns,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD033,My Accounts Digital,independent,SRC053,partnership,750-999k,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_800_tx_annual,standard,60,modelB,Annual package £720/year = £60/month avg; up to 800 transactions annually; includes bookkeeping year-end statutory accounts partnership tax returns,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
MAD034,My Accounts Digital,independent,SRC053,partnership,1.0-1.49m,COMP_ACCOUNTS,Annual Package - Trial Balance,up_to_1000_tx_annual,standard,65,modelB,Annual package £780/year = £65/month avg; up to 1000 transactions annually; includes bookkeeping year-end statutory accounts partnership tax returns,A,https://www.myaccountsdigital.co.uk/services/limited-company-accountant-fees,2025-01-05,England
