observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
RCHB001,Right Choice Bookkeeping,independent,SRC024,sole_trader,0-49k,COMP_SATR,Self Assessment Tax Return,zero_turnover,simple,4,modelA,Self-assessment tax return for zero turnover; annual £50 converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB002,Right Choice Bookkeeping,independent,SRC024,sole_trader,0-49k,COMP_SATR,Self Assessment Tax Return,up_to_10k,simple,8,modelA,Self-assessment tax return for turnover up to £10k; annual £100 converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB003,Right Choice Bookkeeping,independent,SRC024,sole_trader,0-49k,COMP_SATR,Self Assessment Tax Return,up_to_18k,simple,13,modelA,Self-assessment tax return for turnover up to £18k; annual £150 converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB004,Right Choice Bookkeeping,independent,SRC024,sole_trader,0-49k,COMP_SATR,Self Assessment Tax Return,up_to_25k,simple,17,modelA,Self-assessment tax return for turnover up to £25k; annual £200 converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB005,Right Choice Bookkeeping,independent,SRC024,sole_trader,0-49k,COMP_SATR,Self Assessment Tax Return,up_to_35k,simple,21,modelA,Self-assessment tax return for turnover up to £35k; annual £250 converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB006,Right Choice Bookkeeping,independent,SRC024,sole_trader,0-49k,BOOK_BASIC,Monthly Bookkeeping,up_to_20_tx,simple,30,modelA,Monthly bookkeeping up to 20 invoices includes self-assessment and consultation,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB007,Right Choice Bookkeeping,independent,SRC024,sole_trader,0-49k,BOOK_BASIC,Monthly Bookkeeping,25_to_35_tx,simple,40,modelA,Monthly bookkeeping 25-35 invoices includes self-assessment and consultation,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB008,Right Choice Bookkeeping,independent,SRC024,sole_trader,0-49k,BOOK_BASIC,Monthly Bookkeeping,up_to_50_tx,simple,50,modelA,Monthly bookkeeping up to 50 invoices includes self-assessment and consultation,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB009,Right Choice Bookkeeping,independent,SRC024,partnership,0-49k,BOOK_BASIC,Monthly Bookkeeping,up_to_20_tx,simple,40,modelA,Monthly bookkeeping for partnership up to 20 invoices,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB010,Right Choice Bookkeeping,independent,SRC024,partnership,0-49k,BOOK_BASIC,Monthly Bookkeeping,25_to_35_tx,simple,50,modelA,Monthly bookkeeping for partnership 25-35 invoices,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB011,Right Choice Bookkeeping,independent,SRC024,partnership,0-49k,BOOK_BASIC,Monthly Bookkeeping,up_to_50_tx,simple,60,modelA,Monthly bookkeeping for partnership up to 50 invoices,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB012,Right Choice Bookkeeping,independent,SRC024,partnership,0-49k,COMP_SATR,Partnership Tax Return,without_bookkeeping,simple,5,modelA,Partnership tax return without monthly bookkeeping £60 annual minimum converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB013,Right Choice Bookkeeping,independent,SRC024,ltd,0-49k,BOOK_BASIC,Monthly Bookkeeping,up_to_30_tx,simple,80,modelA,Monthly bookkeeping for ltd up to 30 invoices includes confirmation statement Corporation Tax director self-assessment payroll,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB014,Right Choice Bookkeeping,independent,SRC024,ltd,50-99k,BOOK_BASIC,Monthly Bookkeeping,up_to_30_tx,simple,80,modelA,Monthly bookkeeping for ltd up to 30 invoices includes confirmation statement Corporation Tax director self-assessment payroll,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB015,Right Choice Bookkeeping,independent,SRC024,ltd,0-49k,BOOK_BASIC,Monthly Bookkeeping,30_to_50_tx,standard,100,modelA,Monthly bookkeeping for ltd 30-50 invoices includes confirmation statement Corporation Tax director self-assessment payroll,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB016,Right Choice Bookkeeping,independent,SRC024,ltd,50-99k,BOOK_BASIC,Monthly Bookkeeping,30_to_50_tx,standard,100,modelA,Monthly bookkeeping for ltd 30-50 invoices includes confirmation statement Corporation Tax director self-assessment payroll,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB017,Right Choice Bookkeeping,independent,SRC024,ltd,100-149k,BOOK_BASIC,Monthly Bookkeeping,30_to_50_tx,standard,100,modelA,Monthly bookkeeping for ltd 30-50 invoices includes confirmation statement Corporation Tax director self-assessment payroll,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB018,Right Choice Bookkeeping,independent,SRC024,ltd,0-49k,VAT_QTR,Quarterly VAT Returns,n/a,simple,33,modelA,Quarterly VAT returns £100 per quarter converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB019,Right Choice Bookkeeping,independent,SRC024,ltd,50-99k,VAT_QTR,Quarterly VAT Returns,n/a,simple,33,modelA,Quarterly VAT returns £100 per quarter converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB020,Right Choice Bookkeeping,independent,SRC024,ltd,100-149k,VAT_QTR,Quarterly VAT Returns,n/a,simple,33,modelA,Quarterly VAT returns £100 per quarter converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB021,Right Choice Bookkeeping,independent,SRC024,ltd,0-49k,PAYROLL_BASE,Payroll Services,1_to_3_employees,simple,20,modelA,Monthly payroll service for 1-3 employees,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB022,Right Choice Bookkeeping,independent,SRC024,ltd,50-99k,PAYROLL_BASE,Payroll Services,1_to_3_employees,simple,20,modelA,Monthly payroll service for 1-3 employees,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB023,Right Choice Bookkeeping,independent,SRC024,ltd,100-149k,PAYROLL_BASE,Payroll Services,1_to_3_employees,simple,20,modelA,Monthly payroll service for 1-3 employees,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB024,Right Choice Bookkeeping,independent,SRC024,sole_trader,50-99k,COMP_SATR,Self Assessment Tax Return,over_35k,standard,21,modelA,Self-assessment tax return for turnover over £35k; using £250 annual as baseline converted to monthly,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
RCHB025,Right Choice Bookkeeping,independent,SRC024,sole_trader,50-99k,BOOK_BASIC,Monthly Bookkeeping,up_to_50_tx,simple,50,modelA,Monthly bookkeeping up to 50 invoices includes self-assessment and consultation,A,https://rchbservices.uk/en/price-list/,2025-01-05,England
