observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
DPK001,Direct Peak,independent,SRC025,ltd,0-49k,COMP_ACCOUNTS,Compliance Package,compliance,simple,99,modelA,From £99+VAT; includes annual accounts corporation tax self-assessment company secretarial tax planning Xero software meetings support; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK002,Direct Peak,independent,SRC025,ltd,50-99k,COMP_ACCOUNTS,Compliance Package,compliance,simple,99,modelA,From £99+VAT; includes annual accounts corporation tax self-assessment company secretarial tax planning Xero software meetings support; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK003,Direct Peak,independent,SRC025,ltd,100-149k,COMP_ACCOUNTS,Compliance Package,compliance,simple,99,modelA,From £99+VAT; includes annual accounts corporation tax self-assessment company secretarial tax planning Xero software meetings support; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK004,Direct Peak,independent,SRC025,ltd,0-49k,COMP_ACCOUNTS,Business Package,business,standard,159,modelA,From £159+VAT; includes all Compliance plus dedicated bookkeeper bookkeeping VAT returns Dext software; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK005,Direct Peak,independent,SRC025,ltd,50-99k,COMP_ACCOUNTS,Business Package,business,standard,159,modelA,From £159+VAT; includes all Compliance plus dedicated bookkeeper bookkeeping VAT returns Dext software; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK006,Direct Peak,independent,SRC025,ltd,100-149k,COMP_ACCOUNTS,Business Package,business,standard,159,modelA,From £159+VAT; includes all Compliance plus dedicated bookkeeper bookkeeping VAT returns Dext software; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK007,Direct Peak,independent,SRC025,ltd,150-199k,COMP_ACCOUNTS,Business Package,business,standard,159,modelA,From £159+VAT; includes all Compliance plus dedicated bookkeeper bookkeeping VAT returns Dext software; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK008,Direct Peak,independent,SRC025,ltd,100-149k,MGMT_ACCTS,Insights Package,insights,complex,245,modelA,From £245+VAT; includes all Compliance plus management accounts for informed business decisions; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK009,Direct Peak,independent,SRC025,ltd,150-199k,MGMT_ACCTS,Insights Package,insights,complex,245,modelA,From £245+VAT; includes all Compliance plus management accounts for informed business decisions; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK010,Direct Peak,independent,SRC025,ltd,200-249k,MGMT_ACCTS,Insights Package,insights,complex,245,modelA,From £245+VAT; includes all Compliance plus management accounts for informed business decisions; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
DPK011,Direct Peak,independent,SRC025,ltd,250-299k,MGMT_ACCTS,Insights Package,insights,complex,245,modelA,From £245+VAT; includes all Compliance plus management accounts for informed business decisions; baseline price,C,https://www.directpeak.co.uk/pricing/,2025-01-05,England
