observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
OBS_TA_LLP_001,The Accountancy LLP,The Accountancy Network,SRC020,llp,0-50k,SVC_ACCOUNTS,Core Accountancy,Standard,Low,24.50,Monthly subscription,Year-end accounts completion and filing; partnership tax return submission; confirmation statement; Pandle bookkeeping software access; automated bank feeds; unlimited support,Confirmed,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-11-05,UK
OBS_TA_LLP_002,The Accountancy LLP,The Accountancy Network,SRC020,llp,0-50k,SVC_SA,Self Assessment,Add-on,Low,10.00,Monthly per person,Self Assessment returns for partner/director; first 2 directors included; each additional at £10.00/month,Confirmed,https://www.theaccountancy.co.uk/who-we-help/limited-liability-partnership-accounting-services,2025-11-05,UK
OBS_TA_LLP_003,The Accountancy LLP,The Accountancy Network,SRC020,partnership,0-50k,SVC_ACCOUNTS,Core Accountancy,Standard,Low,24.50,Monthly subscription,Year-end accounts completion and filing; partnership tax return submission; confirmation statement; Pandle bookkeeping software access; automated bank feeds; unlimited support,Confirmed,https://www.theaccountancy.co.uk/pricing,2025-11-05,UK
OBS_TA_LLP_004,The Accountancy LLP,The Accountancy Network,SRC020,partnership,0-50k,SVC_SA,Self Assessment,Add-on,Low,10.00,Monthly per person,Self Assessment returns for partnership members; first member included; additional members at £10.00/month,Confirmed,https://www.theaccountancy.co.uk/pricing,2025-11-05,UK
OBS_TA_LLP_005,The Accountancy LLP,The Accountancy Network,SRC020,llp,50-100k,SVC_ACCOUNTS,Core Accountancy,Standard,Low,29.50,Monthly subscription,Year-end accounts completion and filing; partnership tax return submission; confirmation statement; automated bank feeds; proactive bookkeeping reviews,Confirmed,https://www.theaccountancy.co.uk/pricing,2025-11-05,UK
OBS_TA_LLP_006,The Accountancy LLP,The Accountancy Network,SRC020,llp,50-100k,SVC_SA,Self Assessment,Add-on,Low,10.00,Monthly per person,Self Assessment returns; additional directors at £10.00/month each,Confirmed,https://www.theaccountancy.co.uk/pricing,2025-11-05,UK
OBS_TA_LLP_007,The Accountancy LLP,The Accountancy Network,SRC020,llp,50-100k,SVC_VAT,VAT Returns,Add-on,Low,35.00,Monthly subscription,VAT return preparation and submission,Confirmed,https://www.theaccountancy.co.uk/pricing,2025-11-05,UK
OBS_TA_LLP_008,The Accountancy LLP,The Accountancy Network,SRC020,partnership,50-100k,SVC_ACCOUNTS,Core Accountancy,Standard,Low,29.50,Monthly subscription,Year-end accounts completion and filing; partnership tax return submission; confirmation statement; automated bank feeds; proactive bookkeeping reviews,Confirmed,https://www.theaccountancy.co.uk/pricing,2025-11-05,UK
OBS_TA_LLP_009,The Accountancy LLP,The Accountancy Network,SRC020,partnership,50-100k,SVC_SA,Self Assessment,Add-on,Low,10.00,Monthly per person,Self Assessment returns; additional members at £10.00/month each,Confirmed,https://www.theaccountancy.co.uk/pricing,2025-11-05,UK
OBS_TA_LLP_010,The Accountancy LLP,The Accountancy Network,SRC020,partnership,50-100k,SVC_VAT,VAT Returns,Add-on,Low,35.00,Monthly subscription,VAT return preparation and submission,Confirmed,https://www.theaccountancy.co.uk/pricing,2025-11-05,UK
